,Bangladesh,New Zealand,Bosnia And Herzegovina,Switzerland,Chile,Mexico,India,Malaysia,Ghana,Netherlands,Spain,Finland,Portugal,Brazil,South Africa,Kuwait,Cameroon,Denmark,Canada,Cyprus,Pakistan,Iceland,Oman,Slovenia,Morocco,Poland,Iran,United Kingdom,Trinidad And Tobago,Greece,United Arab Emirates,Turkiye,Ireland,Philippines,Colombia,Lebanon,Belgium,Egypt,Indonesia,Costa Rica,Kazakhstan,France,Qatar,Tunisia,Singapore,Luxembourg,Peru,Austria,Russian Federation,Vietnam,Romania,Saudi Arabia,Sweden,Jordan,Lithuania,Hungary,Australia,Argentina,Germany,Italy,Nigeria,Israel,China,Thailand,Japan,Czech Republic,South Korea,Norway,USA
South Africa,3.5263605246161616,4.007333185232471,,4.276666119016055,3.4657359027997265,2.4849066497880004,3.9512437185814275,2.0794415416798357,3.4657359027997265,5.293304824724492,5.575949103146316,4.1588830833596715,3.713572066704308,2.70805020110221,-inf,3.5553480614894135,3.4965075614664802,4.174387269895637,6.226536669287466,3.258096538021482,1.6094379124341003,3.4965075614664802,3.4965075614664802,2.4849066497880004,3.4339872044851463,3.332204510175204,3.58351893845611,6.782192056006791,,2.772588722239781,,,2.1972245773362196,3.5553480614894135,3.1780538303479458,2.3978952727983707,4.3694478524670215,3.044522437723423,3.044522437723423,3.4339872044851463,3.58351893845611,6.1070228877422545,3.4657359027997265,3.367295829986474,3.2188758248682006,3.5553480614894135,3.4965075614664802,1.791759469228055,,3.1780538303479458,3.367295829986474,2.9444389791664403,3.4339872044851463,3.4011973816621555,3.367295829986474,3.4339872044851463,6.2878585601617845,3.295836866004329,5.655991810819852,4.787491742782046,3.1780538303479458,2.772588722239781,6.633318433280377,3.2188758248682006,3.332204510175204,3.4011973816621555,4.343805421853684,2.9444389791664403,7.893945138235959
Kuwait,0.0,4.499809670330265,,4.672828834461906,1.0986122886681098,3.1354942159291497,4.465908118654584,3.295836866004329,1.0986122886681098,5.455321115357702,5.700443573390687,4.59511985013459,4.330733340286331,3.912023005428146,3.5553480614894135,-inf,0.6931471805599453,4.605170185988092,6.293419278846481,2.1972245773362196,3.6888794541139363,0.6931471805599453,0.6931471805599453,3.1354942159291497,1.3862943611198906,1.9459101490553132,0.0,6.821107472256465,,2.9444389791664403,,,3.784189633918261,-inf,2.3978952727983707,3.1780538303479458,4.736198448394496,2.6390573296152584,2.6390573296152584,1.3862943611198906,0.0,6.182084906716632,1.0986122886681098,1.791759469228055,4.0943445622221,-inf,0.6931471805599453,3.367295829986474,,2.3978952727983707,1.791759469228055,2.772588722239781,4.189654742026425,1.6094379124341003,1.791759469228055,1.3862943611198906,6.35088571671474,2.0794415416798357,5.771441123130016,5.043425116919247,2.3978952727983707,2.9444389791664403,6.678342114654332,2.302585092994046,1.9459101490553132,1.6094379124341003,4.718498871295094,3.9889840465642745,7.906915488678587
Cameroon,0.0,4.477336814478207,,4.653960350157523,0.0,3.044522437723423,4.442651256490317,3.2188758248682006,0.0,5.44673737166631,5.6937321388027,4.574710978503383,4.30406509320417,3.871201010907891,3.4965075614664802,0.6931471805599453,-inf,4.584967478670572,6.289715570908998,1.9459101490553132,3.6375861597263857,-inf,-inf,3.044522437723423,0.6931471805599453,1.6094379124341003,1.0986122886681098,6.818924065275521,,2.833213344056216,,,3.7376696182833684,0.6931471805599453,2.1972245773362196,3.091042453358316,4.718498871295094,2.4849066497880004,2.4849066497880004,0.6931471805599453,1.0986122886681098,6.1779441140506,0.0,1.3862943611198906,4.060443010546419,0.6931471805599453,-inf,3.295836866004329,,2.1972245773362196,1.3862943611198906,2.6390573296152584,4.1588830833596715,1.0986122886681098,1.3862943611198906,0.6931471805599453,6.3473892096560105,1.791759469228055,5.765191102784844,5.030437921392435,2.1972245773362196,2.833213344056216,6.675823221634848,2.0794415416798357,1.6094379124341003,1.0986122886681098,4.700480365792417,3.9512437185814275,7.906178840394815
Denmark,4.59511985013459,2.302585092994046,,1.9459101490553132,4.574710978503383,4.343805421853684,2.5649493574615367,4.290459441148391,4.574710978503383,4.897839799950911,5.293304824724492,0.0,3.1780538303479458,3.912023005428146,4.174387269895637,4.605170185988092,4.584967478670572,-inf,6.089044875446846,4.51085950651685,4.0943445622221,4.584967478670572,4.584967478670572,4.343805421853684,4.564348191467836,4.532599493153256,4.61512051684126,6.705639094860003,,4.394449154672439,,,4.02535169073515,4.605170185988092,4.48863636973214,4.330733340286331,2.6390573296152584,4.454347296253507,4.454347296253507,4.564348191467836,4.61512051684126,5.950642552587727,4.574710978503383,4.543294782270004,3.6888794541139363,4.605170185988092,4.584967478670572,4.2626798770413155,,4.48863636973214,4.543294782270004,4.430816798843313,3.5263605246161616,4.553876891600541,4.543294782270004,4.564348191467836,6.159095388491933,4.5217885770490405,5.3981627015177525,4.007333185232471,4.48863636973214,4.394449154672439,6.543911845564792,4.499809670330265,4.532599493153256,4.553876891600541,2.4849066497880004,3.828641396489095,7.86940171257709
Canada,6.29156913955832,6.111467339502679,,6.073044534100405,6.2878585601617845,6.249975242259483,6.118097198041348,6.2422232654551655,6.2878585601617845,5.726847747587197,5.488937726156687,6.091309882077698,6.142037405587356,6.19644412779452,6.226536669287466,6.293419278846481,6.289715570908998,6.089044875446846,-inf,6.2766434893416445,6.2166061010848646,6.289715570908998,6.289715570908998,6.249975242259483,6.285998094508865,6.280395838960195,6.295266001439646,5.929589143389895,,6.257667587882639,,,6.208590026096629,6.293419278846481,6.272877006546167,6.248042874508429,6.056784013228625,6.267200548541362,6.267200548541362,6.285998094508865,6.295266001439646,4.04305126783455,6.2878585601617845,6.282266746896006,6.175867270105761,6.293419278846481,6.289715570908998,6.238324625039508,,6.272877006546167,6.282266746896006,6.263398262591624,6.163314804034641,6.284134161070802,6.282266746896006,6.285998094508865,3.4657359027997265,6.278521424165844,5.393627546352362,5.955837369464831,6.272877006546167,6.257667587882639,5.537334267018537,6.274762021241939,6.280395838960195,6.284134161070802,6.061456918928017,6.18826412308259,7.684783943522785
Cyprus,2.0794415416798357,4.394449154672439,,4.584967478670572,1.791759469228055,2.6390573296152584,4.356708826689592,2.8903717578961645,1.791759469228055,5.41610040220442,5.66988092298052,4.499809670330265,4.204692619390966,3.713572066704308,3.258096538021482,2.1972245773362196,1.9459101490553132,4.51085950651685,6.2766434893416445,-inf,3.4339872044851463,1.9459101490553132,1.9459101490553132,2.6390573296152584,1.6094379124341003,0.6931471805599453,2.302585092994046,6.811244378601294,,2.302585092994046,,,3.5553480614894135,2.1972245773362196,0.6931471805599453,2.70805020110221,4.653960350157523,1.6094379124341003,1.6094379124341003,1.6094379124341003,2.302585092994046,6.163314804034641,1.791759469228055,1.0986122886681098,3.9318256327243257,2.1972245773362196,1.9459101490553132,2.995732273553991,,0.6931471805599453,1.0986122886681098,1.9459101490553132,4.04305126783455,1.3862943611198906,1.0986122886681098,1.6094379124341003,6.335054251498059,0.0,5.7430031878094825,4.983606621708336,0.6931471805599453,2.302585092994046,6.666956792429207,0.0,0.6931471805599453,1.3862943611198906,4.634728988229636,3.8066624897703196,7.903596289614301
Pakistan,3.6635616461296463,3.912023005428146,,4.204692619390966,3.6109179126442243,2.833213344056216,3.8501476017100584,2.5649493574615367,3.6109179126442243,5.267858159063328,5.556828061699537,4.07753744390572,3.58351893845611,2.302585092994046,1.6094379124341003,3.6888794541139363,3.6375861597263857,4.0943445622221,6.2166061010848646,3.4339872044851463,-inf,3.6375861597263857,3.6375861597263857,2.833213344056216,3.58351893845611,3.4965075614664802,3.713572066704308,6.776506992372183,,3.044522437723423,,,1.3862943611198906,3.6888794541139363,3.367295829986474,2.772588722239781,4.30406509320417,3.258096538021482,3.258096538021482,3.58351893845611,3.713572066704308,6.095824562432225,3.6109179126442243,3.5263605246161616,2.995732273553991,3.6888794541139363,3.6375861597263857,2.3978952727983707,,3.367295829986474,3.5263605246161616,3.1780538303479458,3.258096538021482,3.5553480614894135,3.5263605246161616,3.58351893845611,6.278521424165844,3.4657359027997265,5.638354669333745,4.74493212836325,3.367295829986474,3.044522437723423,6.626717749249025,3.4011973816621555,3.4965075614664802,3.5553480614894135,4.276666119016055,2.6390573296152584,7.892078421248119
Iceland,0.0,4.477336814478207,,4.653960350157523,0.0,3.044522437723423,4.442651256490317,3.2188758248682006,0.0,5.44673737166631,5.6937321388027,4.574710978503383,4.30406509320417,3.871201010907891,3.4965075614664802,0.6931471805599453,-inf,4.584967478670572,6.289715570908998,1.9459101490553132,3.6375861597263857,-inf,-inf,3.044522437723423,0.6931471805599453,1.6094379124341003,1.0986122886681098,6.818924065275521,,2.833213344056216,,,3.7376696182833684,0.6931471805599453,2.1972245773362196,3.091042453358316,4.718498871295094,2.4849066497880004,2.4849066497880004,0.6931471805599453,1.0986122886681098,6.1779441140506,0.0,1.3862943611198906,4.060443010546419,0.6931471805599453,-inf,3.295836866004329,,2.1972245773362196,1.3862943611198906,2.6390573296152584,4.1588830833596715,1.0986122886681098,1.3862943611198906,0.6931471805599453,6.3473892096560105,1.791759469228055,5.765191102784844,5.030437921392435,2.1972245773362196,2.833213344056216,6.675823221634848,2.0794415416798357,1.6094379124341003,1.0986122886681098,4.700480365792417,3.9512437185814275,7.906178840394815
Oman,0.0,4.477336814478207,,4.653960350157523,0.0,3.044522437723423,4.442651256490317,3.2188758248682006,0.0,5.44673737166631,5.6937321388027,4.574710978503383,4.30406509320417,3.871201010907891,3.4965075614664802,0.6931471805599453,-inf,4.584967478670572,6.289715570908998,1.9459101490553132,3.6375861597263857,-inf,-inf,3.044522437723423,0.6931471805599453,1.6094379124341003,1.0986122886681098,6.818924065275521,,2.833213344056216,,,3.7376696182833684,0.6931471805599453,2.1972245773362196,3.091042453358316,4.718498871295094,2.4849066497880004,2.4849066497880004,0.6931471805599453,1.0986122886681098,6.1779441140506,0.0,1.3862943611198906,4.060443010546419,0.6931471805599453,-inf,3.295836866004329,,2.1972245773362196,1.3862943611198906,2.6390573296152584,4.1588830833596715,1.0986122886681098,1.3862943611198906,0.6931471805599453,6.3473892096560105,1.791759469228055,5.765191102784844,5.030437921392435,2.1972245773362196,2.833213344056216,6.675823221634848,2.0794415416798357,1.6094379124341003,1.0986122886681098,4.700480365792417,3.9512437185814275,7.906178840394815
Slovenia,3.091042453358316,4.204692619390966,,4.430816798843313,2.995732273553991,-inf,4.1588830833596715,1.3862943611198906,2.995732273553991,5.351858133476067,5.62040086571715,4.330733340286331,3.970291913552122,3.295836866004329,2.4849066497880004,3.1354942159291497,3.044522437723423,4.343805421853684,6.249975242259483,2.6390573296152584,2.833213344056216,3.044522437723423,3.044522437723423,-inf,2.9444389791664403,2.772588722239781,3.1780538303479458,6.795705775173514,,1.3862943611198906,,,3.044522437723423,3.1354942159291497,2.4849066497880004,0.0,4.51085950651685,2.1972245773362196,2.1972245773362196,2.9444389791664403,3.1780538303479458,6.133398042996649,2.995732273553991,2.833213344056216,3.6109179126442243,3.1354942159291497,3.044522437723423,1.791759469228055,,2.4849066497880004,2.833213344056216,1.9459101490553132,3.7612001156935624,2.8903717578961645,2.833213344056216,2.9444389791664403,6.309918278226516,2.70805020110221,5.697093486505405,4.882801922586371,2.4849066497880004,1.3862943611198906,6.648984550024776,2.5649493574615367,2.772588722239781,2.8903717578961645,4.48863636973214,3.4339872044851463,7.898411092811599
Morocco,1.0986122886681098,4.454347296253507,,4.634728988229636,0.0,2.9444389791664403,4.418840607796598,3.1354942159291497,0.0,5.438079308923196,5.68697535633982,4.553876891600541,4.276666119016055,3.828641396489095,3.4339872044851463,1.3862943611198906,0.6931471805599453,4.564348191467836,6.285998094508865,1.6094379124341003,3.58351893845611,0.6931471805599453,0.6931471805599453,2.9444389791664403,-inf,1.0986122886681098,1.6094379124341003,6.816735880594968,,2.70805020110221,,,3.6888794541139363,1.3862943611198906,1.9459101490553132,2.995732273553991,4.700480365792417,2.302585092994046,2.302585092994046,-inf,1.6094379124341003,6.173786103901937,0.0,0.6931471805599453,4.02535169073515,1.3862943611198906,0.6931471805599453,3.2188758248682006,,1.9459101490553132,0.6931471805599453,2.4849066497880004,4.127134385045092,0.0,0.6931471805599453,-inf,6.343880434126331,1.3862943611198906,5.75890177387728,5.017279836814924,1.9459101490553132,2.70805020110221,6.673297967767654,1.791759469228055,1.0986122886681098,0.0,4.68213122712422,3.912023005428146,7.905441649060286
