,Bangladesh,New Zealand,Bosnia And Herzegovina,Switzerland,Chile,Mexico,India,Malaysia,Ghana,Netherlands,Spain,Finland,Portugal,Brazil,South Africa,Kuwait,Cameroon,Denmark,Canada,Cyprus,Pakistan,Iceland,Oman,Slovenia,Morocco,Poland,Iran,United Kingdom,Trinidad And Tobago,Greece,United Arab Emirates,Turkiye,Ireland,Philippines,Colombia,Lebanon,Belgium,Egypt,Indonesia,Costa Rica,Kazakhstan,France,Qatar,Tunisia,Singapore,Luxembourg,Peru,Austria,Russian Federation,Vietnam,Romania,Saudi Arabia,Sweden,Jordan,Lithuania,Hungary,Australia,Argentina,Germany,Italy,Nigeria,Israel,China,Thailand,Japan,Czech Republic,South Korea,Norway,USA
Belgium,8.154518252309618,3.4880617228425455,0.0,5.623174613146649,8.050675163151247,8.048098046461652,8.111700536048652,7.7934065017574,8.146728168880385,5.526117443399513,6.703709121051001,8.327908473990318,6.032896131790395,7.966922194041362,8.041570911683122,8.107281135355402,8.154518252309618,7.816942854667874,6.901588426977756,7.822252232717811,8.117918949935941,8.258180847780173,8.10472161337265,5.637624327966308,7.919193910657566,7.533059311334238,0.0,6.309325506208256,0.0,7.369806972726921,8.154518252309618,7.915083628689326,5.668211122743193,8.131481867034955,8.154518252309618,8.154518252309618,-inf,0.0,8.128558544960246,8.076702037653542,8.028912312296022,5.177166740669463,7.948083349565741,7.665599098959549,7.757533041725194,7.13770789987708,8.154518252309618,6.2272298005579785,5.652879472515775,0.0,7.839889755283028,8.154518252309618,7.574386743583215,8.154518252309618,6.937528842626819,7.3826991619293185,6.767536227448503,7.825569164388774,5.4694294774277115,7.555143032395942,8.14330161155074,8.154518252309618,7.846058589703807,8.047126177473734,7.440171194748593,0.0,0.0,7.398715929004449,5.0594979953173524
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indonesia,4.490356817564351,8.118858753051493,0.0,8.207040878477159,5.537326907739488,5.56860910978037,4.0372119530492085,6.872487447491811,4.129653017882963,8.051577614443671,7.853404757107389,8.926340035522328,7.997323089170071,6.226422514451892,5.643390677119506,4.26782935274603,4.490356817564351,8.677987127587638,8.385662484849703,6.796141994389678,3.580070606732844,8.88861565090881,4.380144600382867,8.042093331329552,6.462024073611078,7.327186136011079,0.0,8.278830339692117,0.0,7.496975517687236,4.490356817564351,6.479483239000301,8.039284310595958,2.2949859495023395,4.490356817564351,4.490356817564351,8.128558544960246,0.0,-inf,5.143467484877798,5.773020079504612,8.179505343817295,6.32751578413916,7.1358775839876785,8.653302661602353,8.444289113842842,4.490356817564351,8.267772522216841,8.040704059682879,0.0,6.745218507266367,4.490356817564351,8.582526730946046,4.490356817564351,7.766284860214065,7.485483570035488,8.356807857442723,6.786828517801094,8.196225762050059,7.299368994851096,3.9189567664516187,4.490356817564351,6.726554731242678,5.580136197179848,8.535612781845924,0.0,0.0,8.521940842932091,8.17397615772251
Costa Rica,5.562456984143133,8.066483331612638,0.0,8.159193801128383,4.415091185078375,4.508225114276003,4.741802202207259,6.677131421306101,5.4530326106931515,7.995452899850966,7.784546540248962,8.903319866804447,7.937974569489024,5.813035875594058,4.710520137290115,4.604591962849308,5.562456984143133,8.648380374211671,8.345800420461911,6.583521684575985,4.90847466297243,8.864699806063742,4.5158926573972575,7.985418336923521,6.150703238878701,7.207701961335703,0.0,8.234372605751496,0.0,7.397116297449702,5.562456984143133,6.174463728429236,7.98244527341516,5.1997837540221505,5.562456984143133,5.562456984143133,8.076702037653542,0.0,5.143467484877798,-inf,5.011957720638037,8.13028905512786,5.962178722332198,6.9892709415094725,8.622944642244951,8.406740012176908,5.562456984143133,8.22280917373643,7.983947994764989,0.0,6.520143965281274,5.562456984143133,8.549905533921578,5.562456984143133,7.690916668233121,7.384409820669632,8.315754552787865,6.571988938617528,8.14784561470407,7.176298411176764,5.401129531010405,5.562456984143133,6.49671357231189,4.5411537695967805,8.501397623113979,0.0,0.0,8.487246419047215,8.124480123586636
Kazakhstan,6.01776683177354,8.018190709044985,0.0,8.115272497743309,4.212262619873716,4.084932228189354,5.5791225336970545,6.467449605014159,5.9497661201955365,7.943511380994117,7.7200080256028,8.882691032537142,7.882873877450852,5.217297074027437,3.665829787336164,5.522023517973121,6.01776683177354,8.621680662221289,8.309493398473787,6.35068119265976,5.654701368417229,8.843249927972716,5.487522123424097,7.932938996190059,5.76471646916099,7.089733729421837,0.0,8.193697800613052,0.0,7.300523480101076,6.01776683177354,5.799477049662132,7.9298054904374276,5.803421278254533,6.01776683177354,6.01776683177354,8.028912312296022,0.0,5.773020079504612,5.011957720638037,-inf,8.085050118730049,5.473350109778203,6.840259552285849,8.59554758490449,8.372616514808103,6.01776683177354,8.181651428969634,7.931389369421164,0.0,6.270000399302372,6.01776683177354,8.52040161332169,6.01776683177354,7.61981310384557,7.2865193534886865,8.27831911560981,6.3361026533284965,8.103411742912096,7.0543278026950516,5.918504364749153,6.01776683177354,6.239809432323639,4.03246091556224,8.470404293197568,0.0,0.0,8.455804361216947,8.078971543821186
France,8.204191394533886,5.346643437328503,0.0,4.601026763858021,8.105637053773913,8.103197926366576,8.163491426739261,7.863936849425373,8.19678021792021,6.059933493370079,6.900332633179765,8.28414428691985,6.387049072630511,8.026545124782169,8.0970217901057,8.159295553320133,8.204191394533886,7.742890152226718,6.705237572400183,7.89084435528122,8.169396905992263,8.211180774144346,8.156865917977614,6.126814490478776,7.981642359496979,7.623639088736227,0.0,5.920220849769125,0.0,7.475626869799506,8.204191394533886,7.977781388869118,6.145678647781238,8.182283663746704,8.204191394533886,8.204191394533886,5.177166740669463,0.0,8.179505343817295,8.13028905512786,8.085050118730049,-inf,8.008806408425594,7.745371039171971,7.678764414640736,6.985975044259212,8.204191394533886,5.796576594865894,6.1361953351672405,0.0,7.907322220053786,8.204191394533886,7.4790090117042345,8.204191394533886,7.096225667902219,7.487231992234265,6.5395682097954735,7.8939417392372695,4.096752544038758,7.643829562845233,8.193521218304506,8.204191394533886,7.913089947795717,8.102278182642129,7.3303145432518235,0.0,0.0,7.28393228465959,2.9790273703524326
Qatar,6.47530565393242,7.936453875373646,0.0,8.041384575068236,5.722820623865745,5.696069317592551,6.220781326579666,6.005324407711516,6.432812499229699,7.855148670639162,7.60823581340303,8.849069113219054,7.788719144384657,3.9856832140650313,5.625264390597641,6.191130102790898,6.47530565393242,8.577808472671402,8.249051613475467,5.813012818460919,6.261278333319061,8.808251482447483,6.173608402697346,7.843593900023195,4.389394218501542,6.868319093056265,0.0,8.125577561458151,0.0,7.125136655608484,6.47530565393242,4.520372687106312,7.840167040951299,6.345089871916693,6.47530565393242,6.47530565393242,7.948083349565741,0.0,6.32751578413916,5.962178722332198,5.473350109778203,8.008806408425594,-inf,6.5460314257244,8.550487203727247,8.315978859866318,6.47530565393242,8.112676492076265,7.841899325555007,0.0,5.670641131879532,6.47530565393242,8.471737734699277,6.47530565393242,7.495499788273499,7.1084252906713274,8.215902452076737,5.787923125663255,8.028608430653305,6.823940810612089,6.41364284617677,6.47530565393242,5.614964891093488,5.685810541256904,8.419180524631324,0.0,0.0,8.403807315753896,8.00224467168299
Tunisia,7.2044408569617,7.650144054182397,0.0,7.787563460646934,6.909993601667836,6.901907840387549,7.089719131307476,5.672952507727054,7.184170603627042,7.540357995794154,7.184057303875226,8.74375887319685,7.44818821196853,6.620468754157745,6.881226761872424,7.077390372328777,7.2044408569617,8.437278545609097,8.047996533441584,5.891226708384995,7.106903541449251,8.698303708364037,7.070205180372527,7.52449421378643,6.42305715201396,5.579188653163528,0.0,7.894819336766503,0.0,6.303247574838388,7.2044408569617,6.404575087936865,7.519776195074526,7.1437465493032635,7.2044408569617,7.2044408569617,7.665599098959549,0.0,7.1358775839876785,6.9892709415094725,6.840259552285849,7.745371039171971,6.5460314257244,-inf,8.40576936029001,8.129237217558597,7.2044408569617,7.878542349516214,7.522161925006313,0.0,6.0069788901462156,7.2044408569617,8.314179703246023,7.2044408569617,7.006196416763573,6.264819568248512,8.007313287316396,5.913881599638192,7.771065160293834,5.407741945203043,7.1751735604472575,7.2044408569617,6.044936423037489,6.8988469676390185,8.252371140083556,0.0,0.0,8.234181724551803,7.736823165981632
Singapore,8.668744468979988,7.771425273279435,0.0,7.631606400037225,8.607954579609798,8.606479309559338,8.643362027914447,8.468777806818167,8.664093584646928,7.859526584167553,8.056601668206676,7.494779054068918,7.9215529371362114,8.560845292872026,8.602750127117071,8.640767432133378,8.668744468979988,4.964089142246793,7.204353604991623,8.483563298141519,8.64702082432032,7.326426486101158,8.639266922371194,7.870899749744839,8.53477388522193,8.344728734357288,0.0,7.489665199040754,0.0,8.275492086175213,8.668744468979988,8.532555085431564,7.874223066180758,8.65503344312086,8.668744468979988,8.668744468979988,7.757533041725194,0.0,8.653302661602353,8.622944642244951,8.59554758490449,7.678764414640736,8.550487203727247,8.40576936029001,-inf,6.98525929582842,8.668744468979988,7.513587094716469,7.872545926431486,0.0,8.492706168101442,8.668744468979988,5.9698871070129185,8.668744468979988,8.122474586537825,8.280723975503637,7.292989877345482,8.485276786301593,7.650550445201241,8.354596717029583,8.662052465530513,8.668744468979988,8.495922273152257,8.605923385444838,6.455332524492713,0.0,0.0,6.558540857437479,7.687820949217819
Luxembourg,8.463286647781063,7.1633759650117,0.0,6.889360897901629,8.38809808985056,8.386259720332195,8.432023439136158,8.211510933429723,8.457571919997902,7.319671020943636,7.637217567047216,7.965272582746508,7.423843701894696,8.329056627005654,8.381609713424039,8.428817275925438,8.463286647781063,7.1096871643553,5.578552741040643,8.23059318779676,8.436541319764995,7.863469434231699,8.426962187640799,7.339105932731064,8.296071132059684,8.047942696413697,0.0,6.563666944576775,0.0,7.95362330392264,8.463286647781063,8.293253297905732,7.344755579322413,8.446421807009514,8.463286647781063,8.463286647781063,7.13770789987708,0.0,8.444289113842842,8.406740012176908,8.372616514808103,6.985975044259212,8.315978859866318,8.129237217558597,6.98525929582842,-inf,8.463286647781063,6.622988332086739,7.341906080127572,0.0,8.24235236546755,8.463286647781063,6.5354228191191615,8.463286647781063,7.735766167739922,7.960834613059488,5.964536617932966,8.232799350879368,6.928748985876989,8.061197826364973,8.455061991604268,8.463286647781063,8.246481500805956,8.385566796639127,6.096953132564522,0.0,0.0,5.927844745152008,7.004000435196127
Peru,-inf,8.145068202109808,0.0,8.231064447391626,5.8381716979054685,5.861420175182559,4.982382452170524,6.960822078629115,3.2957220297812726,8.079585824720098,7.887448196233865,8.938113866671284,8.026869999372586,6.38872188443291,5.917742490363944,5.078417345547511,-inf,8.693055250502972,8.405795603699481,6.8911616802756015,4.828548313787086,8.90083937131505,5.129915463303528,8.07036470539127,6.592371876177964,7.3841440050417075,0.0,8.3012081971331,0.0,7.545249959186206,-inf,6.607713636480409,8.067634094460406,4.37234182645146,-inf,-inf,8.154518252309618,0.0,4.490356817564351,5.562456984143133,6.01776683177354,8.204191394533886,6.47530565393242,7.2044408569617,8.668744468979988,8.463286647781063,-inf,8.290396409423476,8.0690141865188,0.0,6.844962524733068,-inf,8.599091721032627,-inf,7.803370401125806,7.534302576857907,8.377524308700893,6.882696007523117,8.220507412576938,7.357887394146553,3.6585583528137793,-inf,6.828085558323628,5.8700338220581605,8.552966553700893,0.0,0.0,8.539531414899098,8.198797395519426
Austria,8.290396409423476,6.289851567226941,0.0,5.4362699730618225,8.200360293552514,8.19814184784795,8.2531214827592,7.983069480706838,8.28359943577643,6.63004689288636,7.186731246545493,8.19737447210004,6.827923433908853,8.128679073372417,8.192526695401556,8.2492860150526,8.290396409423476,7.588806691298106,6.1892929119729265,8.006990846804767,8.258522045971777,8.117526231710944,8.247065706671531,6.668413358348306,8.088225430685924,7.772822144374358,0.0,3.768688888427511,0.0,7.646677703403317,8.290396409423476,8.08475548081396,6.679432096508853,8.270316417516854,8.290396409423476,8.290396409423476,6.2272298005579785,0.0,8.267772522216841,8.22280917373643,8.181651428969634,5.796576594865894,8.112676492076265,7.878542349516214,7.513587094716469,6.622988332086739,8.290396409423476,-inf,6.673881995673084,0.0,8.02167502545382,8.290396409423476,7.2733109149836865,8.290396409423476,7.33730928837798,7.656467152778186,5.893898508767015,8.009749054407543,5.594808367463419,7.790238664398332,8.280611850600858,8.290396409423476,8.026821111812241,8.19730544574264,7.087315444976826,0.0,0.0,7.027788414153738,5.854611704570685
Russian Federation,8.0690141865188,5.530970731900149,0.0,6.331284516669996,7.955355024585197,7.952519802290354,8.022283650604722,7.668304791524772,8.060525754172533,3.524724157085038,6.273468297736806,8.394543074964382,4.8813575845776755,7.862826682359293,7.945335672227925,8.017449874276695,8.0690141865188,7.925669414441431,7.153805168643514,7.70093253731005,8.029081740027575,8.32945991404202,8.01464944652008,1.4624231115538227,7.809720899113367,7.367520925982009,0.0,6.727174598383505,0.0,7.171822785186467,8.0690141865188,7.805134006631217,1.4827191467928875,8.043895400266441,8.0690141865188,8.0690141865188,5.652879472515775,0.0,8.040704059682879,7.983947994764989,7.931389369421164,6.1361953351672405,7.841899325555007,7.522161925006313,7.872545926431486,7.341906080127572,8.0690141865188,6.673881995673084,-inf,0.0,7.720822565635877,8.0690141865188,7.711001261619628,8.0690141865188,6.613531822250672,7.187515587955958,7.051231252319534,7.704676506057969,6.258502507439517,7.39352905262468,8.056790137485342,8.0690141865188,7.727768718869702,7.95145040765288,7.594961347534676,0.0,0.0,7.55955757469267,6.092717668961117
Vietnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania,6.844962524733068,7.826922806548671,0.0,7.94331822055573,6.39021835725273,6.376583227197152,6.676222518071871,4.7480749852799935,6.815794787632045,7.7357645734703855,7.452692474765993,8.80652576305955,7.660587376491814,5.840765467441174,6.341357300801059,6.657520911011765,6.844962524733068,8.521629304122335,8.17012252952351,3.7933572733098417,6.702093969362227,8.763895801497227,6.646566155785593,7.722735042967373,5.345339116088875,6.508934181622301,0.0,8.035796548229078,0.0,6.859192410534075,6.844962524733068,5.290036747155522,7.718867097863259,6.756826721827739,6.844962524733068,6.844962524733068,7.839889755283028,0.0,6.745218507266367,6.520143965281274,6.270000399302372,7.907322220053786,5.670641131879532,6.0069788901462156,8.492706168101442,8.24235236546755,6.844962524733068,8.02167502545382,7.720822565635877,0.0,-inf,6.844962524733068,8.409071151390812,6.844962524733068,7.3196686039820245,6.837333718225955,8.134201443109339,3.586681150057371,7.929216350067724,6.444737290989582,6.80276439168111,6.844962524733068,2.7547303884543797,6.371401780724988,8.353017962328927,0.0,0.0,8.336584533916314,7.900057056482138
Saudi Arabia,-inf,8.145068202109808,0.0,8.231064447391626,5.8381716979054685,5.861420175182559,4.982382452170524,6.960822078629115,3.2957220297812726,8.079585824720098,7.887448196233865,8.938113866671284,8.026869999372586,6.38872188443291,5.917742490363944,5.078417345547511,-inf,8.693055250502972,8.405795603699481,6.8911616802756015,4.828548313787086,8.90083937131505,5.129915463303528,8.07036470539127,6.592371876177964,7.3841440050417075,0.0,8.3012081971331,0.0,7.545249959186206,-inf,6.607713636480409,8.067634094460406,4.37234182645146,-inf,-inf,8.154518252309618,0.0,4.490356817564351,5.562456984143133,6.01776683177354,8.204191394533886,6.47530565393242,7.2044408569617,8.668744468979988,8.463286647781063,-inf,8.290396409423476,8.0690141865188,0.0,6.844962524733068,-inf,8.599091721032627,-inf,7.803370401125806,7.534302576857907,8.377524308700893,6.882696007523117,8.220507412576938,7.357887394146553,3.6585583528137793,-inf,6.828085558323628,5.8700338220581605,8.552966553700893,0.0,0.0,8.539531414899098,8.198797395519426
