Country_1,Country_2,Cooperation_Count,Country_Pair
Netherlands,Pieter Jan,1,"('Netherlands', 'Pieter Jan')"
Pieter Jan,UK,1,"('Pieter Jan', 'UK')"
Denmark,Thailand,1,"('Denmark', 'Thailand')"
Jae Hyeung,USA,2,"('Jae Hyeung', 'USA')"
Joona,Maiju,1,"('Joona', 'Maiju')"
Anne,Maiju,1,"('Anne', 'Maiju')"
Joona,Mari,2,"('Joona', 'Mari')"
Anne,Joona,1,"('Anne', 'Joona')"
Finland,Joona,2,"('Finland', 'Joona')"
Anne,Mari,1,"('Anne', 'Mari')"
Anne,Finland,1,"('Anne', 'Finland')"
Jee Hyun,Young Kyun,1,"('Jee Hyun', 'Young Kyun')"
South Korea,Young Kyun,3,"('South Korea', 'Young Kyun')"
Canada,Young Kyun,1,"('Canada', 'Young Kyun')"
Jee Hyun,South Korea,1,"('Jee Hyun', 'South Korea')"
Canada,Jee Hyun,1,"('Canada', 'Jee Hyun')"
Enrique,Mexico,1,"('Enrique', 'Mexico')"
Joaquin,Mexico,1,"('Joaquin', 'Mexico')"
Enrique,Joaquin,1,"('Enrique', 'Joaquin')"
Joaquin,Spain,1,"('Joaquin', 'Spain')"
France,Mohamed,1,"('France', 'Mohamed')"
Andrea,Canada,1,"('Andrea', 'Canada')"
Andrea,Italy,5,"('Andrea', 'Italy')"
Andrea,UK,5,"('Andrea', 'UK')"
Australia,Gary,2,"('Australia', 'Gary')"
Kristen,USA,5,"('Kristen', 'USA')"
Cyprus,Greece,3,"('Cyprus', 'Greece')"
Nataia,Spain,2,"('Nataia', 'Spain')"
Alina Beattrice,Romania,1,"('Alina Beattrice', 'Romania')"
Alina Beattrice,Spain,1,"('Alina Beattrice', 'Spain')"
Romania,Spain,3,"('Romania', 'Spain')"
Rui,USA,1,"('Rui', 'USA')"
Alison,Joanne,1,"('Alison', 'Joanne')"
Joanne,Nicola,1,"('Joanne', 'Nicola')"
Joanne,UK,1,"('Joanne', 'UK')"
Alison,Nicola,1,"('Alison', 'Nicola')"
Alison,UK,1,"('Alison', 'UK')"
Nicola,UK,1,"('Nicola', 'UK')"
France,Meena,1,"('France', 'Meena')"
Canada,Charlotte,1,"('Canada', 'Charlotte')"
Ayesha,Jaydeep,1,"('Ayesha', 'Jaydeep')"
Canada,Jaydeep,1,"('Canada', 'Jaydeep')"
Ayesha,Canada,1,"('Ayesha', 'Canada')"
Pei-Chi,Peoples R China,1,"('Pei-Chi', 'Peoples R China')"
Pei-Chi,Taiwan,2,"('Pei-Chi', 'Taiwan')"
Bosnia & Herceg,Selma,1,"('Bosnia & Herceg', 'Selma')"
Milena,Selma,1,"('Milena', 'Selma')"
Selma,UK,2,"('Selma', 'UK')"
Bosnia & Herceg,Milena,1,"('Bosnia & Herceg', 'Milena')"
Bosnia & Herceg,UK,4,"('Bosnia & Herceg', 'UK')"
Milena,UK,2,"('Milena', 'UK')"
Aleksandra,Denmark,1,"('Aleksandra', 'Denmark')"
Aleksandra,Sweden,2,"('Aleksandra', 'Sweden')"
Aleksandra,Lars,1,"('Aleksandra', 'Lars')"
Aleksandra,Norway,1,"('Aleksandra', 'Norway')"
Denmark,Sweden,11,"('Denmark', 'Sweden')"
Denmark,Lars,1,"('Denmark', 'Lars')"
Australia,Fara,1,"('Australia', 'Fara')"
Alejandro,Peru,1,"('Alejandro', 'Peru')"
Alejandro,Spain,1,"('Alejandro', 'Spain')"
UK,Yaping,1,"('UK', 'Yaping')"
Thailand,Thailand,3,"('Thailand', 'Thailand')"
Peoples R China,Thailand,10,"('Peoples R China', 'Thailand')"
Pornsit,Thailand,4,"('Pornsit', 'Thailand')"
Pornsit,USA,2,"('Pornsit', 'USA')"
Peoples R China,Pornsit,1,"('Peoples R China', 'Pornsit')"
Italy,Laura,4,"('Italy', 'Laura')"
Laura,USA,5,"('Laura', 'USA')"
Daniela,Giuseppe,1,"('Daniela', 'Giuseppe')"
Daniela,Italy,1,"('Daniela', 'Italy')"
Daniela,France,1,"('Daniela', 'France')"
Giuseppe,Italy,1,"('Giuseppe', 'Italy')"
France,Giuseppe,1,"('France', 'Giuseppe')"
Alessandra,USA,10,"('Alessandra', 'USA')"
Alessandra,Australia,6,"('Alessandra', 'Australia')"
Alessandra,Alessandra,1,"('Alessandra', 'Alessandra')"
Dongseop,Yongduk,1,"('Dongseop', 'Yongduk')"
Dongseop,Subin,1,"('Dongseop', 'Subin')"
Dongseop,South Korea,1,"('Dongseop', 'South Korea')"
Subin,Yongduk,1,"('Subin', 'Yongduk')"
South Korea,Yongduk,1,"('South Korea', 'Yongduk')"
South Korea,Subin,1,"('South Korea', 'Subin')"
Cornelia,John,1,"('Cornelia', 'John')"
Australia,Cornelia,1,"('Australia', 'Cornelia')"
Mariateresa,UK,1,"('Mariateresa', 'UK')"
Germany,Mariateresa,1,"('Germany', 'Mariateresa')"
Nuria,Pilar,1,"('Nuria', 'Pilar')"
Nuria,Spain,1,"('Nuria', 'Spain')"
Pilar,Spain,1,"('Pilar', 'Spain')"
France,Jay Heon,1,"('France', 'Jay Heon')"
Byungjin,France,1,"('Byungjin', 'France')"
France,Jaywon,1,"('France', 'Jaywon')"
Byungjin,Jay Heon,1,"('Byungjin', 'Jay Heon')"
Jay Heon,Jaywon,1,"('Jay Heon', 'Jaywon')"
Jay Heon,South Korea,1,"('Jay Heon', 'South Korea')"
Byungjin,Jaywon,1,"('Byungjin', 'Jaywon')"
Byungjin,South Korea,1,"('Byungjin', 'South Korea')"
Jaywon,South Korea,1,"('Jaywon', 'South Korea')"
Ali Osman,USA,2,"('Ali Osman', 'USA')"
Ali Osman,Turkey,2,"('Ali Osman', 'Turkey')"
Lisa,USA,6,"('Lisa', 'USA')"
Devan,Fred,1,"('Devan', 'Fred')"
Canada,Devan,1,"('Canada', 'Devan')"
Canada,Fred,1,"('Canada', 'Fred')"
Cynthia,Scott,1,"('Cynthia', 'Scott')"
Cynthia,Denmark,1,"('Cynthia', 'Denmark')"
Scott,USA,4,"('Scott', 'USA')"
Denmark,Scott,1,"('Denmark', 'Scott')"
Canada,Walid,1,"('Canada', 'Walid')"
Australia,Walid,1,"('Australia', 'Walid')"
Peoples R China,Xinming,1,"('Peoples R China', 'Xinming')"
Australia,Lonneke,1,"('Australia', 'Lonneke')"
Lonneke,Netherlands,1,"('Lonneke', 'Netherlands')"
Arnaldo,Italy,2,"('Arnaldo', 'Italy')"
Edwin,Switzerland,4,"('Edwin', 'Switzerland')"
Edwin,Sybille,1,"('Edwin', 'Sybille')"
Quan,Xingqiang,1,"('Quan', 'Xingqiang')"
Peoples R China,Quan,5,"('Peoples R China', 'Quan')"
France,Francois,1,"('France', 'Francois')"
France,Marie-Laure,1,"('France', 'Marie-Laure')"
Feng,Zhihua,1,"('Feng', 'Zhihua')"
Peoples R China,Zhihua,1,"('Peoples R China', 'Zhihua')"
USA,Zhihua,1,"('USA', 'Zhihua')"
Feng,Peoples R China,1,"('Feng', 'Peoples R China')"
Feng,USA,1,"('Feng', 'USA')"
Chanhoo,South Korea,1,"('Chanhoo', 'South Korea')"
Indonesia,UK,9,"('Indonesia', 'UK')"
Indonesia,Peoples R China,1,"('Indonesia', 'Peoples R China')"
Switzerland,Thomas,4,"('Switzerland', 'Thomas')"
Germany,Nick,2,"('Germany', 'Nick')"
Belgium,Charlotte Emily,1,"('Belgium', 'Charlotte Emily')"
Hao,Jianxin,1,"('Hao', 'Jianxin')"
Jianxin,Peoples R China,2,"('Jianxin', 'Peoples R China')"
Hao,Peoples R China,4,"('Hao', 'Peoples R China')"
France,Shahzad,1,"('France', 'Shahzad')"
Marylyn,UK,5,"('Marylyn', 'UK')"
Canada,Tanusree,1,"('Canada', 'Tanusree')"
Tanusree,USA,1,"('Tanusree', 'USA')"
Lebanon,Tanusree,1,"('Lebanon', 'Tanusree')"
Spain,Tanusree,1,"('Spain', 'Tanusree')"
Lebanon,Spain,1,"('Lebanon', 'Spain')"
France,R. Edward,1,"('France', 'R. Edward')"
Italy,R. Edward,1,"('Italy', 'R. Edward')"
Denmark,Switzerland,3,"('Denmark', 'Switzerland')"
Keston,Kristen,1,"('Keston', 'Kristen')"
Keston,USA,3,"('Keston', 'USA')"
Finland,Tiina,1,"('Finland', 'Tiina')"
Junha,Yunchul,1,"('Junha', 'Yunchul')"
Junha,South Korea,1,"('Junha', 'South Korea')"
South Korea,Yunchul,1,"('South Korea', 'Yunchul')"
Harald,USA,1,"('Harald', 'USA')"
Moritz,Wolfgang,1,"('Moritz', 'Wolfgang')"
Germany,Wolfgang,2,"('Germany', 'Wolfgang')"
Germany,Moritz,2,"('Germany', 'Moritz')"
Germany,John,1,"('Germany', 'John')"
John,UK,2,"('John', 'UK')"
Gail Lynn,USA,1,"('Gail Lynn', 'USA')"
Canada,Gail Lynn,1,"('Canada', 'Gail Lynn')"
Alexander,Heather,1,"('Alexander', 'Heather')"
Alexander,Sukanto,1,"('Alexander', 'Sukanto')"
Heather,Sukanto,1,"('Heather', 'Sukanto')"
Australia,Heather,1,"('Australia', 'Heather')"
Australia,Sukanto,1,"('Australia', 'Sukanto')"
Russia,Russia,3,"('Russia', 'Russia')"
Kathryn,Pavel,1,"('Kathryn', 'Pavel')"
Kathryn,New Zealand,1,"('Kathryn', 'New Zealand')"
New Zealand,Pavel,1,"('New Zealand', 'Pavel')"
Finland,Minna-Maaria,4,"('Finland', 'Minna-Maaria')"
Caroline,Marylyn,1,"('Caroline', 'Marylyn')"
Carmela,Caroline,1,"('Carmela', 'Caroline')"
Carmela,Marylyn,1,"('Carmela', 'Marylyn')"
Carmela,UK,2,"('Carmela', 'UK')"
Spain,Stefania,2,"('Spain', 'Stefania')"
Stefania,USA,1,"('Stefania', 'USA')"
III,USA,1,"('III', 'USA')"
III,UK,1,"('III', 'UK')"
Italy,Lamberto,1,"('Italy', 'Lamberto')"
Lamberto,UK,1,"('Lamberto', 'UK')"
Benedicte,France,4,"('Benedicte', 'France')"
Christopher,UK,4,"('Christopher', 'UK')"
France,Guillaume,1,"('France', 'Guillaume')"
Debbie,Mehrdokht,1,"('Debbie', 'Mehrdokht')"
Australia,Debbie,1,"('Australia', 'Debbie')"
Australia,Mehrdokht,1,"('Australia', 'Mehrdokht')"
France,Rachel,2,"('France', 'Rachel')"
Luxembourg,Rachel,1,"('Luxembourg', 'Rachel')"
France,Luxembourg,2,"('France', 'Luxembourg')"
Ireland,Peter,1,"('Ireland', 'Peter')"
Canada,Kelly,1,"('Canada', 'Kelly')"
Brazil,Russia,3,"('Brazil', 'Russia')"
France,Marc,1,"('France', 'Marc')"
Rea,Switzerland,1,"('Rea', 'Switzerland')"
Russia,Spain,4,"('Russia', 'Spain')"
Felix,Russia,1,"('Felix', 'Russia')"
Kubilay,USA,3,"('Kubilay', 'USA')"
Kubilay,Turkey,4,"('Kubilay', 'Turkey')"
Kevin,USA,1,"('Kevin', 'USA')"
Asghar,USA,4,"('Asghar', 'USA')"
Juliane,Ozlem,1,"('Juliane', 'Ozlem')"
Crawford,Ozlem,1,"('Crawford', 'Ozlem')"
Ozlem,UK,1,"('Ozlem', 'UK')"
Crawford,Juliane,1,"('Crawford', 'Juliane')"
Juliane,UK,1,"('Juliane', 'UK')"
Crawford,UK,1,"('Crawford', 'UK')"
Australia,Minzhi,2,"('Australia', 'Minzhi')"
Barbara,Slovenia,1,"('Barbara', 'Slovenia')"
Canada,Francesco,1,"('Canada', 'Francesco')"
Timothy Paul,USA,2,"('Timothy Paul', 'USA')"
Canada,Jane,2,"('Canada', 'Jane')"
Denmark,Nina,1,"('Denmark', 'Nina')"
Germany,Nina,1,"('Germany', 'Nina')"
Netherlands,Nina,1,"('Netherlands', 'Nina')"
Angelo,Australia,2,"('Angelo', 'Australia')"
Angelo,USA,1,"('Angelo', 'USA')"
Finland,Tuure,2,"('Finland', 'Tuure')"
Anu,Finland,1,"('Anu', 'Finland')"
Maxwell,UK,2,"('Maxwell', 'UK')"
Maxwell,U Arab Emirates,1,"('Maxwell', 'U Arab Emirates')"
Brazil,Maxwell,1,"('Brazil', 'Maxwell')"
Brazil,U Arab Emirates,1,"('Brazil', 'U Arab Emirates')"
Alvaro,Trinidad Tobago,1,"('Alvaro', 'Trinidad Tobago')"
Colombia,Trinidad Tobago,1,"('Colombia', 'Trinidad Tobago')"
Alvaro,Colombia,1,"('Alvaro', 'Colombia')"
Peoples R China,Ziwei,3,"('Peoples R China', 'Ziwei')"
UK,Ziwei,1,"('UK', 'Ziwei')"
Australia,Lynne,1,"('Australia', 'Lynne')"
Lynne,UK,1,"('Lynne', 'UK')"
Barbara,Rob,1,"('Barbara', 'Rob')"
Barbara,Netherlands,3,"('Barbara', 'Netherlands')"
Rob,USA,1,"('Rob', 'USA')"
Changsu,Jong-Hun,1,"('Changsu', 'Jong-Hun')"
Jong-Hun,Young Kyun,1,"('Jong-Hun', 'Young Kyun')"
Dong-Hyun,Jong-Hun,1,"('Dong-Hyun', 'Jong-Hun')"
Jong-Hun,South Korea,1,"('Jong-Hun', 'South Korea')"
Changsu,Young Kyun,1,"('Changsu', 'Young Kyun')"
Changsu,Dong-Hyun,1,"('Changsu', 'Dong-Hyun')"
Changsu,South Korea,1,"('Changsu', 'South Korea')"
Dong-Hyun,Young Kyun,1,"('Dong-Hyun', 'Young Kyun')"
Dong-Hyun,South Korea,1,"('Dong-Hyun', 'South Korea')"
Australia,Hungary,1,"('Australia', 'Hungary')"
Hungary,Slovenia,3,"('Hungary', 'Slovenia')"
Hungary,UK,1,"('Hungary', 'UK')"
Laura,Paul Maurice,1,"('Laura', 'Paul Maurice')"
Ann-Louise,Laura,1,"('Ann-Louise', 'Laura')"
Denmark,Laura,4,"('Denmark', 'Laura')"
Ase Marie,Laura,1,"('Ase Marie', 'Laura')"
Laura,Sweden,1,"('Laura', 'Sweden')"
Ann-Louise,Paul Maurice,1,"('Ann-Louise', 'Paul Maurice')"
Denmark,Paul Maurice,4,"('Denmark', 'Paul Maurice')"
Ase Marie,Paul Maurice,1,"('Ase Marie', 'Paul Maurice')"
Paul Maurice,Sweden,1,"('Paul Maurice', 'Sweden')"
Italy,Paul Maurice,2,"('Italy', 'Paul Maurice')"
Ann-Louise,Denmark,4,"('Ann-Louise', 'Denmark')"
Ann-Louise,Ase Marie,1,"('Ann-Louise', 'Ase Marie')"
Ann-Louise,Sweden,1,"('Ann-Louise', 'Sweden')"
Ann-Louise,Italy,2,"('Ann-Louise', 'Italy')"
Ase Marie,Denmark,4,"('Ase Marie', 'Denmark')"
Ase Marie,Sweden,1,"('Ase Marie', 'Sweden')"
Ase Marie,Italy,2,"('Ase Marie', 'Italy')"
Barbados,UK,2,"('Barbados', 'UK')"
Australia,Daniella,3,"('Australia', 'Daniella')"
Anastasia,France,2,"('Anastasia', 'France')"
Anastasia,Belgium,4,"('Anastasia', 'Belgium')"
Anastasia,Anastasia,1,"('Anastasia', 'Anastasia')"
Neil,Steven,1,"('Neil', 'Steven')"
Neil,UK,2,"('Neil', 'UK')"
Steven,UK,2,"('Steven', 'UK')"
Lifeng,USA,10,"('Lifeng', 'USA')"
USA,Victoria,13,"('USA', 'Victoria')"
Lifeng,Victoria,4,"('Lifeng', 'Victoria')"
Lifeng,Lifeng,1,"('Lifeng', 'Lifeng')"
Victoria,Victoria,1,"('Victoria', 'Victoria')"
Italy,Luca,2,"('Italy', 'Luca')"
Stephan,USA,2,"('Stephan', 'USA')"
Jaehyung,South Korea,2,"('Jaehyung', 'South Korea')"
Laura,Spain,2,"('Laura', 'Spain')"
Finland,Laura,2,"('Finland', 'Laura')"
Emilia,Laura,1,"('Emilia', 'Laura')"
Emilia,Spain,2,"('Emilia', 'Spain')"
Real,Taieb,1,"('Real', 'Taieb')"
Aurelien,Valentina,1,"('Aurelien', 'Valentina')"
Aurelien,France,1,"('Aurelien', 'France')"
France,Valentina,1,"('France', 'Valentina')"
Jose,Nieves,1,"('Jose', 'Nieves')"
Nieves,Spain,1,"('Nieves', 'Spain')"
Dirk,Narongsak,1,"('Dirk', 'Narongsak')"
Dirk,UK,1,"('Dirk', 'UK')"
Dirk,Thailand,1,"('Dirk', 'Thailand')"
Canada,Narongsak,1,"('Canada', 'Narongsak')"
Narongsak,UK,1,"('Narongsak', 'UK')"
Narongsak,Thailand,1,"('Narongsak', 'Thailand')"
Canada,Thailand,4,"('Canada', 'Thailand')"
Asghar,Singapore,1,"('Asghar', 'Singapore')"
Canada,Morgane,1,"('Canada', 'Morgane')"
Toto,USA,14,"('Toto', 'USA')"
USA,Vivien Kim Geok,6,"('USA', 'Vivien Kim Geok')"
Brigitte,USA,14,"('Brigitte', 'USA')"
Abdulgawi Salim,USA,14,"('Abdulgawi Salim', 'USA')"
Malta,USA,14,"('Malta', 'USA')"
Luigina,USA,14,"('Luigina', 'USA')"
Jian,USA,15,"('Jian', 'USA')"
Hungary,USA,14,"('Hungary', 'USA')"
Nigeria,USA,22,"('Nigeria', 'USA')"
Marko,USA,14,"('Marko', 'USA')"
Canada,Toto,2,"('Canada', 'Toto')"
Toto,Vivien Kim Geok,1,"('Toto', 'Vivien Kim Geok')"
Singapore,Toto,2,"('Singapore', 'Toto')"
Mexico,Toto,4,"('Mexico', 'Toto')"
Russia,Toto,2,"('Russia', 'Toto')"
Peoples R China,Toto,6,"('Peoples R China', 'Toto')"
Brigitte,Toto,2,"('Brigitte', 'Toto')"
France,Toto,2,"('France', 'Toto')"
Spain,Toto,2,"('Spain', 'Toto')"
Belgium,Toto,2,"('Belgium', 'Toto')"
South Africa,Toto,2,"('South Africa', 'Toto')"
Toto,Turkey,4,"('Toto', 'Turkey')"
Abdulgawi Salim,Toto,2,"('Abdulgawi Salim', 'Toto')"
Oman,Toto,2,"('Oman', 'Toto')"
Malta,Toto,2,"('Malta', 'Toto')"
Luigina,Toto,2,"('Luigina', 'Toto')"
Italy,Toto,2,"('Italy', 'Toto')"
Taiwan,Toto,4,"('Taiwan', 'Toto')"
Portugal,Toto,4,"('Portugal', 'Toto')"
Egypt,Toto,2,"('Egypt', 'Toto')"
South Korea,Toto,2,"('South Korea', 'Toto')"
Jian,Toto,2,"('Jian', 'Toto')"
Jingqiu,Toto,2,"('Jingqiu', 'Toto')"
Hungary,Toto,2,"('Hungary', 'Toto')"
Brazil,Toto,2,"('Brazil', 'Toto')"
Nigeria,Toto,3,"('Nigeria', 'Toto')"
Malaysia,Toto,2,"('Malaysia', 'Toto')"
Thailand,Toto,2,"('Thailand', 'Toto')"
Romania,Toto,2,"('Romania', 'Toto')"
Marko,Toto,2,"('Marko', 'Toto')"
Slovenia,Toto,2,"('Slovenia', 'Toto')"
North Macedonia,Toto,2,"('North Macedonia', 'Toto')"
Canada,Vivien Kim Geok,1,"('Canada', 'Vivien Kim Geok')"
Canada,Russia,10,"('Canada', 'Russia')"
Brigitte,Canada,2,"('Brigitte', 'Canada')"
Canada,Turkey,4,"('Canada', 'Turkey')"
Abdulgawi Salim,Canada,2,"('Abdulgawi Salim', 'Canada')"
Canada,Oman,2,"('Canada', 'Oman')"
Canada,Malta,2,"('Canada', 'Malta')"
Canada,Luigina,2,"('Canada', 'Luigina')"
Canada,Egypt,2,"('Canada', 'Egypt')"
Canada,Jian,3,"('Canada', 'Jian')"
Canada,Jingqiu,2,"('Canada', 'Jingqiu')"
Canada,Hungary,2,"('Canada', 'Hungary')"
Canada,Romania,2,"('Canada', 'Romania')"
Canada,Marko,2,"('Canada', 'Marko')"
Canada,North Macedonia,2,"('Canada', 'North Macedonia')"
Singapore,Vivien Kim Geok,1,"('Singapore', 'Vivien Kim Geok')"
Mexico,Vivien Kim Geok,2,"('Mexico', 'Vivien Kim Geok')"
Russia,Vivien Kim Geok,1,"('Russia', 'Vivien Kim Geok')"
Peoples R China,Vivien Kim Geok,3,"('Peoples R China', 'Vivien Kim Geok')"
Brigitte,Vivien Kim Geok,1,"('Brigitte', 'Vivien Kim Geok')"
France,Vivien Kim Geok,1,"('France', 'Vivien Kim Geok')"
Spain,Vivien Kim Geok,1,"('Spain', 'Vivien Kim Geok')"
Belgium,Vivien Kim Geok,1,"('Belgium', 'Vivien Kim Geok')"
South Africa,Vivien Kim Geok,1,"('South Africa', 'Vivien Kim Geok')"
Turkey,Vivien Kim Geok,2,"('Turkey', 'Vivien Kim Geok')"
Abdulgawi Salim,Vivien Kim Geok,1,"('Abdulgawi Salim', 'Vivien Kim Geok')"
Oman,Vivien Kim Geok,1,"('Oman', 'Vivien Kim Geok')"
Malta,Vivien Kim Geok,1,"('Malta', 'Vivien Kim Geok')"
Luigina,Vivien Kim Geok,1,"('Luigina', 'Vivien Kim Geok')"
Italy,Vivien Kim Geok,1,"('Italy', 'Vivien Kim Geok')"
Taiwan,Vivien Kim Geok,2,"('Taiwan', 'Vivien Kim Geok')"
Portugal,Vivien Kim Geok,2,"('Portugal', 'Vivien Kim Geok')"
Egypt,Vivien Kim Geok,1,"('Egypt', 'Vivien Kim Geok')"
South Korea,Vivien Kim Geok,1,"('South Korea', 'Vivien Kim Geok')"
Jian,Vivien Kim Geok,1,"('Jian', 'Vivien Kim Geok')"
Jingqiu,Vivien Kim Geok,1,"('Jingqiu', 'Vivien Kim Geok')"
Hungary,Vivien Kim Geok,1,"('Hungary', 'Vivien Kim Geok')"
Brazil,Vivien Kim Geok,1,"('Brazil', 'Vivien Kim Geok')"
Nigeria,Vivien Kim Geok,1,"('Nigeria', 'Vivien Kim Geok')"
Malaysia,Vivien Kim Geok,1,"('Malaysia', 'Vivien Kim Geok')"
Thailand,Vivien Kim Geok,1,"('Thailand', 'Vivien Kim Geok')"
Romania,Vivien Kim Geok,1,"('Romania', 'Vivien Kim Geok')"
Marko,Vivien Kim Geok,1,"('Marko', 'Vivien Kim Geok')"
Slovenia,Vivien Kim Geok,1,"('Slovenia', 'Vivien Kim Geok')"
North Macedonia,Vivien Kim Geok,1,"('North Macedonia', 'Vivien Kim Geok')"
Russia,Singapore,2,"('Russia', 'Singapore')"
Brigitte,Singapore,2,"('Brigitte', 'Singapore')"
Belgium,Singapore,3,"('Belgium', 'Singapore')"
Singapore,South Africa,2,"('Singapore', 'South Africa')"
Singapore,Turkey,5,"('Singapore', 'Turkey')"
Abdulgawi Salim,Singapore,2,"('Abdulgawi Salim', 'Singapore')"
Oman,Singapore,2,"('Oman', 'Singapore')"
Malta,Singapore,2,"('Malta', 'Singapore')"
Luigina,Singapore,2,"('Luigina', 'Singapore')"
Egypt,Singapore,2,"('Egypt', 'Singapore')"
Jian,Singapore,2,"('Jian', 'Singapore')"
Jingqiu,Singapore,2,"('Jingqiu', 'Singapore')"
Hungary,Singapore,2,"('Hungary', 'Singapore')"
Nigeria,Singapore,4,"('Nigeria', 'Singapore')"
Singapore,Thailand,2,"('Singapore', 'Thailand')"
Romania,Singapore,2,"('Romania', 'Singapore')"
Marko,Singapore,2,"('Marko', 'Singapore')"
North Macedonia,Singapore,2,"('North Macedonia', 'Singapore')"
Mexico,Russia,6,"('Mexico', 'Russia')"
Brigitte,Mexico,4,"('Brigitte', 'Mexico')"
Mexico,South Africa,4,"('Mexico', 'South Africa')"
Mexico,Turkey,8,"('Mexico', 'Turkey')"
Abdulgawi Salim,Mexico,4,"('Abdulgawi Salim', 'Mexico')"
Mexico,Oman,4,"('Mexico', 'Oman')"
Malta,Mexico,4,"('Malta', 'Mexico')"
Luigina,Mexico,4,"('Luigina', 'Mexico')"
Egypt,Mexico,4,"('Egypt', 'Mexico')"
Jian,Mexico,4,"('Jian', 'Mexico')"
Jingqiu,Mexico,4,"('Jingqiu', 'Mexico')"
Hungary,Mexico,4,"('Hungary', 'Mexico')"
Mexico,Nigeria,6,"('Mexico', 'Nigeria')"
Mexico,Thailand,4,"('Mexico', 'Thailand')"
Mexico,Romania,4,"('Mexico', 'Romania')"
Marko,Mexico,4,"('Marko', 'Mexico')"
Mexico,North Macedonia,4,"('Mexico', 'North Macedonia')"
Peoples R China,Russia,6,"('Peoples R China', 'Russia')"
Brigitte,Russia,2,"('Brigitte', 'Russia')"
France,Russia,3,"('France', 'Russia')"
Belgium,Russia,2,"('Belgium', 'Russia')"
Russia,South Africa,2,"('Russia', 'South Africa')"
Russia,Turkey,4,"('Russia', 'Turkey')"
Abdulgawi Salim,Russia,2,"('Abdulgawi Salim', 'Russia')"
Oman,Russia,2,"('Oman', 'Russia')"
Malta,Russia,2,"('Malta', 'Russia')"
Luigina,Russia,2,"('Luigina', 'Russia')"
Italy,Russia,2,"('Italy', 'Russia')"
Russia,Taiwan,4,"('Russia', 'Taiwan')"
Portugal,Russia,4,"('Portugal', 'Russia')"
Egypt,Russia,2,"('Egypt', 'Russia')"
Russia,South Korea,2,"('Russia', 'South Korea')"
Jian,Russia,2,"('Jian', 'Russia')"
Jingqiu,Russia,2,"('Jingqiu', 'Russia')"
Hungary,Russia,2,"('Hungary', 'Russia')"
Nigeria,Russia,3,"('Nigeria', 'Russia')"
Malaysia,Russia,2,"('Malaysia', 'Russia')"
Russia,Thailand,2,"('Russia', 'Thailand')"
Romania,Russia,2,"('Romania', 'Russia')"
Marko,Russia,2,"('Marko', 'Russia')"
Russia,Slovenia,2,"('Russia', 'Slovenia')"
North Macedonia,Russia,2,"('North Macedonia', 'Russia')"
Brigitte,Peoples R China,6,"('Brigitte', 'Peoples R China')"
Peoples R China,South Africa,6,"('Peoples R China', 'South Africa')"
Peoples R China,Turkey,15,"('Peoples R China', 'Turkey')"
Abdulgawi Salim,Peoples R China,6,"('Abdulgawi Salim', 'Peoples R China')"
Oman,Peoples R China,6,"('Oman', 'Peoples R China')"
Malta,Peoples R China,6,"('Malta', 'Peoples R China')"
Luigina,Peoples R China,6,"('Luigina', 'Peoples R China')"
Egypt,Peoples R China,11,"('Egypt', 'Peoples R China')"
Jian,Peoples R China,10,"('Jian', 'Peoples R China')"
Hungary,Peoples R China,6,"('Hungary', 'Peoples R China')"
Nigeria,Peoples R China,9,"('Nigeria', 'Peoples R China')"
Peoples R China,Romania,6,"('Peoples R China', 'Romania')"
Marko,Peoples R China,6,"('Marko', 'Peoples R China')"
North Macedonia,Peoples R China,6,"('North Macedonia', 'Peoples R China')"
Brigitte,France,3,"('Brigitte', 'France')"
Brigitte,Spain,2,"('Brigitte', 'Spain')"
Belgium,Brigitte,2,"('Belgium', 'Brigitte')"
Brigitte,South Africa,2,"('Brigitte', 'South Africa')"
Brigitte,Turkey,4,"('Brigitte', 'Turkey')"
Abdulgawi Salim,Brigitte,2,"('Abdulgawi Salim', 'Brigitte')"
Brigitte,Oman,2,"('Brigitte', 'Oman')"
Brigitte,Malta,2,"('Brigitte', 'Malta')"
Brigitte,Luigina,2,"('Brigitte', 'Luigina')"
Brigitte,Italy,2,"('Brigitte', 'Italy')"
Brigitte,Taiwan,4,"('Brigitte', 'Taiwan')"
Brigitte,Portugal,4,"('Brigitte', 'Portugal')"
Brigitte,Egypt,2,"('Brigitte', 'Egypt')"
Brigitte,South Korea,2,"('Brigitte', 'South Korea')"
Brigitte,Jian,2,"('Brigitte', 'Jian')"
Brigitte,Jingqiu,2,"('Brigitte', 'Jingqiu')"
Brigitte,Hungary,2,"('Brigitte', 'Hungary')"
Brazil,Brigitte,2,"('Brazil', 'Brigitte')"
Brigitte,Nigeria,3,"('Brigitte', 'Nigeria')"
Brigitte,Malaysia,2,"('Brigitte', 'Malaysia')"
Brigitte,Thailand,2,"('Brigitte', 'Thailand')"
Brigitte,Romania,2,"('Brigitte', 'Romania')"
Brigitte,Marko,2,"('Brigitte', 'Marko')"
Brigitte,Slovenia,2,"('Brigitte', 'Slovenia')"
Brigitte,North Macedonia,2,"('Brigitte', 'North Macedonia')"
Abdulgawi Salim,France,2,"('Abdulgawi Salim', 'France')"
France,Oman,2,"('France', 'Oman')"
France,Malta,2,"('France', 'Malta')"
