Country_1,Country_2,Cooperation_Count,Country_Pair
Chung-Leung,USA,2,"('Chung-Leung', 'USA')"
Chung-Leung,Peoples R China,4,"('Chung-Leung', 'Peoples R China')"
Philippe,Switzerland,4,"('Philippe', 'Switzerland')"
Philippe,Philippe,1,"('Philippe', 'Philippe')"
Josep Maria,Marc,1,"('Josep Maria', 'Marc')"
Marc,Spain,1,"('Marc', 'Spain')"
Josep Maria,Spain,1,"('Josep Maria', 'Spain')"
Belgium,Francois,2,"('Belgium', 'Francois')"
Francois,UK,2,"('Francois', 'UK')"
Curtis,USA,2,"('Curtis', 'USA')"
Costanza,Italy,2,"('Costanza', 'Italy')"
Costanza,USA,1,"('Costanza', 'USA')"
Italy,USA,77,"('Italy', 'USA')"
Francesc,Spain,1,"('Francesc', 'Spain')"
Giacomo,Italy,3,"('Giacomo', 'Italy')"
Jose,Reyes,2,"('Jose', 'Reyes')"
Reyes,Spain,3,"('Reyes', 'Spain')"
Jose,Spain,5,"('Jose', 'Spain')"
Mario,Olivier,1,"('Mario', 'Olivier')"
Canada,Olivier,5,"('Canada', 'Olivier')"
Canada,Mario,1,"('Canada', 'Mario')"
Claudia,Switzerland,1,"('Claudia', 'Switzerland')"
Claudia,Netherlands,2,"('Claudia', 'Netherlands')"
Germany,Thomas,1,"('Germany', 'Thomas')"
Alexandro,Germany,1,"('Alexandro', 'Germany')"
Canada,Paul,1,"('Canada', 'Paul')"
Claus-Heinrich,Switzerland,1,"('Claus-Heinrich', 'Switzerland')"
Peter,Switzerland,2,"('Peter', 'Switzerland')"
Bill,Tim,2,"('Bill', 'Tim')"
Tim,USA,8,"('Tim', 'USA')"
Bill,USA,2,"('Bill', 'USA')"
J. Brooke,USA,2,"('J. Brooke', 'USA')"
Ireland,Jane Frecknall,1,"('Ireland', 'Jane Frecknall')"
Jane Frecknall,UK,1,"('Jane Frecknall', 'UK')"
Andres,USA,2,"('Andres', 'USA')"
Andres,Spain,3,"('Andres', 'Spain')"
Harrison,USA,2,"('Harrison', 'USA')"
Steven,USA,4,"('Steven', 'USA')"
Shane,USA,9,"('Shane', 'USA')"
Italy,Lucio,1,"('Italy', 'Lucio')"
Jack,USA,1,"('Jack', 'USA')"
Greg,Norway,1,"('Greg', 'Norway')"
Jang,Norway,1,"('Jang', 'Norway')"
Canada,Norway,3,"('Canada', 'Norway')"
Australia,Greg,2,"('Australia', 'Greg')"
Greg,Jang,1,"('Greg', 'Jang')"
Canada,Greg,1,"('Canada', 'Greg')"
Australia,Jang,1,"('Australia', 'Jang')"
Canada,Jang,1,"('Canada', 'Jang')"
Samuel Michael,USA,3,"('Samuel Michael', 'USA')"
Dima,Mona,1,"('Dima', 'Mona')"
Dima,Lebanon,2,"('Dima', 'Lebanon')"
Lebanon,Mona,1,"('Lebanon', 'Mona')"
North Macedonia,USA,18,"('North Macedonia', 'USA')"
North Macedonia,North Macedonia,1,"('North Macedonia', 'North Macedonia')"
North Macedonia,Taiwan,6,"('North Macedonia', 'Taiwan')"
Joakim,Sweden,3,"('Joakim', 'Sweden')"
Joakim,UK,1,"('Joakim', 'UK')"
Sweden,UK,18,"('Sweden', 'UK')"
G. Stoney,USA,2,"('G. Stoney', 'USA')"
Florinda,Maria Ceu,1,"('Florinda', 'Maria Ceu')"
Maria Ceu,Portugal,1,"('Maria Ceu', 'Portugal')"
Florinda,Portugal,1,"('Florinda', 'Portugal')"
Semra,Turkey,2,"('Semra', 'Turkey')"
Pakistan,Semra,1,"('Pakistan', 'Semra')"
Pakistan,Turkey,2,"('Pakistan', 'Turkey')"
Bahtisen,Canan,1,"('Bahtisen', 'Canan')"
Bahtisen,Turkey,2,"('Bahtisen', 'Turkey')"
Canan,Turkey,2,"('Canan', 'Turkey')"
Turkey,Ugur,1,"('Turkey', 'Ugur')"
Daniel,USA,7,"('Daniel', 'USA')"
Daniel,Spain,2,"('Daniel', 'Spain')"
Isabel,Reyes,1,"('Isabel', 'Reyes')"
Isabel,Jose,1,"('Isabel', 'Jose')"
Isabel,Spain,2,"('Isabel', 'Spain')"
Elena,Eva,1,"('Elena', 'Eva')"
Elena,Spain,1,"('Elena', 'Spain')"
Eva,Spain,3,"('Eva', 'Spain')"
Austria,UK,9,"('Austria', 'UK')"
Glen,UK,2,"('Glen', 'UK')"
Glen,USA,1,"('Glen', 'USA')"
Australia,Justine,1,"('Australia', 'Justine')"
Farai,Ralph,1,"('Farai', 'Ralph')"
Ralph,South Africa,4,"('Ralph', 'South Africa')"
New Zealand,Ralph,1,"('New Zealand', 'Ralph')"
Farai,South Africa,1,"('Farai', 'South Africa')"
Farai,New Zealand,1,"('Farai', 'New Zealand')"
New Zealand,South Africa,1,"('New Zealand', 'South Africa')"
Gregory,New Zealand,1,"('Gregory', 'New Zealand')"
