Country_1,Country_2,Cooperation_Count,Country_Pair,Total_Articles_Country_1,Total_Articles_Country_2,Int_ij
Leigh Plunkett,USA,1,"('Leigh Plunkett', 'USA')",1,6439,0.000155304
Matthew,USA,6,"('Matthew', 'USA')",4,6439,0.001397733
Jeroimo,USA,1,"('Jeroimo', 'USA')",1,6439,0.000155304
Monle,USA,2,"('Monle', 'USA')",1,6439,0.000621214
Jerry,USA,4,"('Jerry', 'USA')",3,6439,0.000828286
Anna,USA,2,"('Anna', 'USA')",7,6439,8.87E-05
Ofelia,USA,6,"('Ofelia', 'USA')",2,6439,0.002795465
Nicholas,USA,2,"('Nicholas', 'USA')",3,6439,0.000207071
Jeroen,USA,3,"('Jeroen', 'USA')",11,6439,0.000127067
Cedric,USA,2,"('Cedric', 'USA')",2,6439,0.000310607
Diana,USA,2,"('Diana', 'USA')",3,6439,0.000207071
Joan,USA,1,"('Joan', 'USA')",1,6439,0.000155304
Hugo,USA,1,"('Hugo', 'USA')",1,6439,0.000155304
James,USA,18,"('James', 'USA')",10,6439,0.005031837
Stephen,USA,2,"('Stephen', 'USA')",2,6439,0.000310607
Harald,USA,1,"('Harald', 'USA')",3,6439,5.18E-05
Cheryl,USA,1,"('Cheryl', 'USA')",1,6439,0.000155304
Karen,USA,3,"('Karen', 'USA')",2,6439,0.000698866
Russell,USA,1,"('Russell', 'USA')",1,6439,0.000155304
Hsien Chun,USA,1,"('Hsien Chun', 'USA')",1,6439,0.000155304
I-Heng,USA,1,"('I-Heng', 'USA')",1,6439,0.000155304
Amber Y-P,USA,1,"('Amber Y-P', 'USA')",1,6439,0.000155304
Pam Scholder,USA,2,"('Pam Scholder', 'USA')",1,6439,0.000621214
Felix,USA,1,"('Felix', 'USA')",5,6439,3.11E-05
Matthias,USA,1,"('Matthias', 'USA')",4,6439,3.88E-05
Throstur Olaf,USA,1,"('Throstur Olaf', 'USA')",3,6439,5.18E-05
Iceland,USA,1,"('Iceland', 'USA')",5,6439,3.11E-05
John Michael,USA,1,"('John Michael', 'USA')",1,6439,0.000155304
Roberto,USA,1,"('Roberto', 'USA')",3,6439,5.18E-05
Cameroon,USA,1,"('Cameroon', 'USA')",5,6439,3.11E-05
K. Kathy,USA,1,"('K. Kathy', 'USA')",1,6439,0.000155304
S. Prakash,USA,9,"('S. Prakash', 'USA')",4,6439,0.003144898
H. Jack,USA,5,"('H. Jack', 'USA')",2,6439,0.001941295
G. Tyge,USA,8,"('G. Tyge', 'USA')",3,6439,0.003313144
Pramodita,USA,3,"('Pramodita', 'USA')",2,6439,0.000698866
Andre,USA,3,"('Andre', 'USA')",3,6439,0.000465911
Olubunmi,USA,1,"('Olubunmi', 'USA')",1,6439,0.000155304
Deanna,USA,1,"('Deanna', 'USA')",1,6439,0.000155304
Nora,USA,1,"('Nora', 'USA')",1,6439,0.000155304
Megan,USA,4,"('Megan', 'USA')",2,6439,0.001242429
Rui,USA,1,"('Rui', 'USA')",2,6439,7.77E-05
Dong-Jin,USA,1,"('Dong-Jin', 'USA')",1,6439,0.000155304
Haina,USA,2,"('Haina', 'USA')",1,6439,0.000621214
Sefa,USA,3,"('Sefa', 'USA')",1,6439,0.001397733
Cam,USA,5,"('Cam', 'USA')",2,6439,0.001941295
Ryan,USA,5,"('Ryan', 'USA')",2,6439,0.001941295
Federica,USA,1,"('Federica', 'USA')",3,6439,5.18E-05
Slovenia,USA,36,"('Slovenia', 'USA')",31,6439,0.006492693
Amal,USA,1,"('Amal', 'USA')",3,6439,5.18E-05
Lithuania,USA,18,"('Lithuania', 'USA')",10,6439,0.005031837
Paulina Man Kei,USA,10,"('Paulina Man Kei', 'USA')",1,6439,0.015530362
Mauritius,USA,2,"('Mauritius', 'USA')",3,6439,0.000207071
Magdalena,USA,1,"('Magdalena', 'USA')",1,6439,0.000155304
Hoje,USA,9,"('Hoje', 'USA')",6,6439,0.002096599
Svetlana,USA,1,"('Svetlana', 'USA')",1,6439,0.000155304
Javier,USA,2,"('Javier', 'USA')",5,6439,0.000124243
Daejoong,USA,1,"('Daejoong', 'USA')",1,6439,0.000155304
Alyssa,USA,1,"('Alyssa', 'USA')",1,6439,0.000155304
Claus,USA,1,"('Claus', 'USA')",1,6439,0.000155304
Lauren,USA,3,"('Lauren', 'USA')",1,6439,0.001397733
Lisa,USA,6,"('Lisa', 'USA')",5,6439,0.001118186
Foo Nin,USA,2,"('Foo Nin', 'USA')",1,6439,0.000621214
Fernando,USA,2,"('Fernando', 'USA')",2,6439,0.000310607
Raymond,USA,2,"('Raymond', 'USA')",2,6439,0.000310607
Joe,USA,3,"('Joe', 'USA')",1,6439,0.001397733
Jonathan,USA,3,"('Jonathan', 'USA')",2,6439,0.000698866
Raj,USA,2,"('Raj', 'USA')",1,6439,0.000621214
Praveen,USA,1,"('Praveen', 'USA')",1,6439,0.000155304
Rajiv,USA,1,"('Rajiv', 'USA')",1,6439,0.000155304
Raul,USA,1,"('Raul', 'USA')",1,6439,0.000155304
Barbara,USA,3,"('Barbara', 'USA')",6,6439,0.000232955
Pinar Celikkol,USA,2,"('Pinar Celikkol', 'USA')",1,6439,0.000621214
Kristen Bell,USA,6,"('Kristen Bell', 'USA')",2,6439,0.002795465
Shuili,USA,1,"('Shuili', 'USA')",1,6439,0.000155304
D. Jordan,USA,4,"('D. Jordan', 'USA')",2,6439,0.001242429
A. Wren,USA,1,"('A. Wren', 'USA')",1,6439,0.000155304
Oriol,USA,1,"('Oriol', 'USA')",2,6439,7.77E-05
Gary,USA,3,"('Gary', 'USA')",7,6439,0.000199676
Ronald,USA,1,"('Ronald', 'USA')",1,6439,0.000155304
Jia Fei,USA,1,"('Jia Fei', 'USA')",1,6439,0.000155304
Stefan,USA,2,"('Stefan', 'USA')",7,6439,8.87E-05
E. Guenter,USA,1,"('E. Guenter', 'USA')",1,6439,0.000155304
Cindy,USA,2,"('Cindy', 'USA')",1,6439,0.000621214
Philipp,USA,1,"('Philipp', 'USA')",4,6439,3.88E-05
Dongjing,USA,2,"('Dongjing', 'USA')",1,6439,0.000621214
Mary,USA,1,"('Mary', 'USA')",3,6439,5.18E-05
Janie Harden,USA,4,"('Janie Harden', 'USA')",1,6439,0.002484858
Barjinder,USA,1,"('Barjinder', 'USA')",1,6439,0.000155304
Rebecca Toppe,USA,2,"('Rebecca Toppe', 'USA')",1,6439,0.000621214
Suzanne,USA,1,"('Suzanne', 'USA')",1,6439,0.000155304
Teppo,USA,1,"('Teppo', 'USA')",1,6439,0.000155304
Dorothee,USA,1,"('Dorothee', 'USA')",2,6439,7.77E-05
Olga,USA,3,"('Olga', 'USA')",3,6439,0.000465911
Derek,USA,1,"('Derek', 'USA')",1,6439,0.000155304
Trinidad Tobago,USA,1,"('Trinidad Tobago', 'USA')",8,6439,1.94E-05
Raphie,USA,1,"('Raphie', 'USA')",1,6439,0.000155304
Julia,USA,1,"('Julia', 'USA')",2,6439,7.77E-05
Omid,USA,3,"('Omid', 'USA')",2,6439,0.000698866
Hermann,USA,1,"('Hermann', 'USA')",1,6439,0.000155304
Edina,USA,1,"('Edina', 'USA')",1,6439,0.000155304
Stijn,USA,2,"('Stijn', 'USA')",2,6439,0.000310607
Douglas,USA,2,"('Douglas', 'USA')",1,6439,0.000621214
Subrata,USA,2,"('Subrata', 'USA')",2,6439,0.000310607
Jason,USA,4,"('Jason', 'USA')",4,6439,0.000621214
Stephanie,USA,1,"('Stephanie', 'USA')",2,6439,7.77E-05
Alina S. Hernandez,USA,1,"('Alina S. Hernandez', 'USA')",4,6439,3.88E-05
Ruediger,USA,1,"('Ruediger', 'USA')",1,6439,0.000155304
Anne,USA,1,"('Anne', 'USA')",5,6439,3.11E-05
Patrick,USA,1,"('Patrick', 'USA')",4,6439,3.88E-05
Belen,USA,1,"('Belen', 'USA')",1,6439,0.000155304
H. Onur,USA,1,"('H. Onur', 'USA')",2,6439,7.77E-05
Fidel,USA,8,"('Fidel', 'USA')",1,6439,0.009939432
Sri Lanka,USA,8,"('Sri Lanka', 'USA')",1,6439,0.009939432
Min,USA,2,"('Min', 'USA')",5,6439,0.000124243
Montgomery,USA,1,"('Montgomery', 'USA')",1,6439,0.000155304
Sang-Eun,USA,2,"('Sang-Eun', 'USA')",1,6439,0.000621214
Hyejeong,USA,2,"('Hyejeong', 'USA')",1,6439,0.000621214
Jingqiu,USA,15,"('Jingqiu', 'USA')",4,6439,0.008735829
Seong-Hyun,USA,1,"('Seong-Hyun', 'USA')",1,6439,0.000155304
Romania,USA,19,"('Romania', 'USA')",8,6439,0.007008076
Pamela,USA,3,"('Pamela', 'USA')",2,6439,0.000698866
Eric,USA,4,"('Eric', 'USA')",3,6439,0.000828286
Gergely,USA,1,"('Gergely', 'USA')",1,6439,0.000155304
Jiyun,USA,1,"('Jiyun', 'USA')",1,6439,0.000155304
Czech Republic,USA,6,"('Czech Republic', 'USA')",8,6439,0.000698866
Sona,USA,1,"('Sona', 'USA')",1,6439,0.000155304
Bradley,USA,3,"('Bradley', 'USA')",2,6439,0.000698866
Martin,USA,1,"('Martin', 'USA')",4,6439,3.88E-05
Giovanni,USA,1,"('Giovanni', 'USA')",2,6439,7.77E-05
Stefano,USA,1,"('Stefano', 'USA')",3,6439,5.18E-05
Angelica,USA,1,"('Angelica', 'USA')",1,6439,0.000155304
Jeffrey,USA,2,"('Jeffrey', 'USA')",1,6439,0.000621214
Qinxuan,USA,1,"('Qinxuan', 'USA')",1,6439,0.000155304
Claudio,USA,1,"('Claudio', 'USA')",2,6439,7.77E-05
Carolin,USA,1,"('Carolin', 'USA')",2,6439,7.77E-05
Jodie,USA,1,"('Jodie', 'USA')",1,6439,0.000155304
Tobias,USA,1,"('Tobias', 'USA')",7,6439,2.22E-05
Thomas Li-Ping,USA,2,"('Thomas Li-Ping', 'USA')",1,6439,0.000621214
Emma,USA,4,"('Emma', 'USA')",2,6439,0.001242429
Jinhua,USA,3,"('Jinhua', 'USA')",2,6439,0.000698866
Soonkyoo,USA,1,"('Soonkyoo', 'USA')",1,6439,0.000155304
Keke,USA,5,"('Keke', 'USA')",2,6439,0.001941295
Audur Arna,USA,1,"('Audur Arna', 'USA')",1,6439,0.000155304
Roberta,USA,1,"('Roberta', 'USA')",3,6439,5.18E-05
Rajesh,USA,1,"('Rajesh', 'USA')",1,6439,0.000155304
Jean-Noel,USA,1,"('Jean-Noel', 'USA')",1,6439,0.000155304
Hakkon,USA,1,"('Hakkon', 'USA')",1,6439,0.000155304
Emilia,USA,1,"('Emilia', 'USA')",2,6439,7.77E-05
Kristin,USA,4,"('Kristin', 'USA')",2,6439,0.001242429
Chad,USA,1,"('Chad', 'USA')",1,6439,0.000155304
Margaret,USA,1,"('Margaret', 'USA')",3,6439,5.18E-05
R. Mitch,USA,2,"('R. Mitch', 'USA')",1,6439,0.000621214
Anna Katharina,USA,1,"('Anna Katharina', 'USA')",2,6439,7.77E-05
Maretno,USA,2,"('Maretno', 'USA')",1,6439,0.000621214
Jane,USA,4,"('Jane', 'USA')",4,6439,0.000621214
Kathleen,USA,3,"('Kathleen', 'USA')",4,6439,0.000349433
Rene,USA,1,"('Rene', 'USA')",2,6439,7.77E-05
Ricky,USA,2,"('Ricky', 'USA')",1,6439,0.000621214
Mamta,USA,3,"('Mamta', 'USA')",1,6439,0.001397733
Mateja Kos,USA,1,"('Mateja Kos', 'USA')",1,6439,0.000155304
Adrian,USA,2,"('Adrian', 'USA')",3,6439,0.000207071
Biying,USA,1,"('Biying', 'USA')",1,6439,0.000155304
Jingyu,USA,4,"('Jingyu', 'USA')",2,6439,0.001242429
Marlene,USA,1,"('Marlene', 'USA')",2,6439,7.77E-05
Hye Jung,USA,1,"('Hye Jung', 'USA')",1,6439,0.000155304
Godwin,USA,3,"('Godwin', 'USA')",2,6439,0.000698866
Kai Chi,USA,1,"('Kai Chi', 'USA')",1,6439,0.000155304
Nader,USA,1,"('Nader', 'USA')",1,6439,0.000155304
Bryan,USA,3,"('Bryan', 'USA')",2,6439,0.000698866
Christof,USA,1,"('Christof', 'USA')",2,6439,7.77E-05
Joon Sung,USA,1,"('Joon Sung', 'USA')",1,6439,0.000155304
Krzysztof,USA,1,"('Krzysztof', 'USA')",2,6439,7.77E-05
Ken,USA,2,"('Ken', 'USA')",2,6439,0.000310607
Tessa,USA,1,"('Tessa', 'USA')",3,6439,5.18E-05
Brendan,USA,5,"('Brendan', 'USA')",1,6439,0.00388259
Allison,USA,3,"('Allison', 'USA')",1,6439,0.001397733
Christos,USA,3,"('Christos', 'USA')",2,6439,0.000698866
Ming,USA,1,"('Ming', 'USA')",1,6439,0.000155304
Randy,USA,2,"('Randy', 'USA')",2,6439,0.000310607
Taylor,USA,1,"('Taylor', 'USA')",1,6439,0.000155304
Robert Allen,USA,3,"('Robert Allen', 'USA')",1,6439,0.001397733
Akanksha,USA,2,"('Akanksha', 'USA')",1,6439,0.000621214
Cassandra,USA,1,"('Cassandra', 'USA')",1,6439,0.000155304
Elizabeth,USA,1,"('Elizabeth', 'USA')",2,6439,7.77E-05
Omrane,USA,1,"('Omrane', 'USA')",1,6439,0.000155304
Polona,USA,1,"('Polona', 'USA')",1,6439,0.000155304
Kristina,USA,1,"('Kristina', 'USA')",1,6439,0.000155304
Jae Hyeung,USA,2,"('Jae Hyeung', 'USA')",1,6439,0.000621214
Kristen,USA,5,"('Kristen', 'USA')",2,6439,0.001941295
Pornsit,USA,2,"('Pornsit', 'USA')",2,6439,0.000310607
Laura,USA,5,"('Laura', 'USA')",6,6439,0.000647098
Alessandra,USA,10,"('Alessandra', 'USA')",2,6439,0.007765181
Ali Osman,USA,2,"('Ali Osman', 'USA')",1,6439,0.000621214
Scott,USA,4,"('Scott', 'USA')",2,6439,0.001242429
Feng,USA,1,"('Feng', 'USA')",1,6439,0.000155304
Hao,USA,2,"('Hao', 'USA')",2,6439,0.000310607
Tanusree,USA,1,"('Tanusree', 'USA')",1,6439,0.000155304
Keston,USA,3,"('Keston', 'USA')",1,6439,0.001397733
Gail Lynn,USA,1,"('Gail Lynn', 'USA')",1,6439,0.000155304
Stefania,USA,1,"('Stefania', 'USA')",2,6439,7.77E-05
III,USA,1,"('III', 'USA')",1,6439,0.000155304
Kubilay,USA,3,"('Kubilay', 'USA')",1,6439,0.001397733
Asghar,USA,4,"('Asghar', 'USA')",2,6439,0.001242429
Timothy Paul,USA,2,"('Timothy Paul', 'USA')",1,6439,0.000621214
Angelo,USA,1,"('Angelo', 'USA')",1,6439,0.000155304
Rob,USA,1,"('Rob', 'USA')",4,6439,3.88E-05
Lifeng,USA,10,"('Lifeng', 'USA')",2,6439,0.007765181
Stephan,USA,2,"('Stephan', 'USA')",1,6439,0.000621214
Dirk,USA,1,"('Dirk', 'USA')",4,6439,3.88E-05
Toto,USA,14,"('Toto', 'USA')",2,6439,0.015219755
Brigitte,USA,14,"('Brigitte', 'USA')",3,6439,0.010146503
Abdulgawi Salim,USA,14,"('Abdulgawi Salim', 'USA')",2,6439,0.015219755
Malta,USA,14,"('Malta', 'USA')",2,6439,0.015219755
Luigina,USA,14,"('Luigina', 'USA')",2,6439,0.015219755
Jian,USA,15,"('Jian', 'USA')",4,6439,0.008735829
Marko,USA,14,"('Marko', 'USA')",2,6439,0.015219755
Juelin,USA,1,"('Juelin', 'USA')",1,6439,0.000155304
Jiawei Sophia,USA,1,"('Jiawei Sophia', 'USA')",1,6439,0.000155304
Niels,USA,2,"('Niels', 'USA')",3,6439,0.000207071
Shenggang,USA,1,"('Shenggang', 'USA')",2,6439,7.77E-05
Jan,USA,1,"('Jan', 'USA')",2,6439,7.77E-05
Teri Elkins,USA,1,"('Teri Elkins', 'USA')",1,6439,0.000155304
Jimmy,USA,1,"('Jimmy', 'USA')",1,6439,0.000155304
Tianni,USA,2,"('Tianni', 'USA')",1,6439,0.000621214
Clinton,USA,1,"('Clinton', 'USA')",2,6439,7.77E-05
Qi-tao,USA,2,"('Qi-tao', 'USA')",1,6439,0.000621214
Nitika,USA,1,"('Nitika', 'USA')",1,6439,0.000155304
Pritam,USA,1,"('Pritam', 'USA')",1,6439,0.000155304
Sophie,USA,1,"('Sophie', 'USA')",4,6439,3.88E-05
Chun Keung,USA,2,"('Chun Keung', 'USA')",1,6439,0.000621214
Saoure,USA,2,"('Saoure', 'USA')",1,6439,0.000621214
Gokhan,USA,2,"('Gokhan', 'USA')",1,6439,0.000621214
Leon,USA,2,"('Leon', 'USA')",4,6439,0.000155304
So Young,USA,1,"('So Young', 'USA')",1,6439,0.000155304
Denton,USA,2,"('Denton', 'USA')",1,6439,0.000621214
Manuela,USA,1,"('Manuela', 'USA')",1,6439,0.000155304
Svenja,USA,1,"('Svenja', 'USA')",1,6439,0.000155304
Madelynn,USA,2,"('Madelynn', 'USA')",2,6439,0.000310607
