Country_1,Country_2,Cooperation_Count,Country_Pair,Total_Articles_Country_1,Total_Articles_Country_2,Int_ij
Lithuania,Switzerland,2,"('Lithuania', 'Switzerland')",10,169,0.002366864
Moritz,Switzerland,2,"('Moritz', 'Switzerland')",5,169,0.004733728
Sebastien,Switzerland,1,"('Sebastien', 'Switzerland')",1,169,0.00591716
Franciska,Switzerland,1,"('Franciska', 'Switzerland')",1,169,0.00591716
Guido,Switzerland,1,"('Guido', 'Switzerland')",1,169,0.00591716
Barbara,Switzerland,1,"('Barbara', 'Switzerland')",6,169,0.000986193
Stefan,Switzerland,1,"('Stefan', 'Switzerland')",7,169,0.000845309
Mary,Switzerland,1,"('Mary', 'Switzerland')",3,169,0.001972387
Dorothee,Switzerland,2,"('Dorothee', 'Switzerland')",2,169,0.01183432
Antoinette,Switzerland,2,"('Antoinette', 'Switzerland')",2,169,0.01183432
Joerg,Switzerland,1,"('Joerg', 'Switzerland')",1,169,0.00591716
Anne,Switzerland,1,"('Anne', 'Switzerland')",5,169,0.001183432
Patrick,Switzerland,1,"('Patrick', 'Switzerland')",4,169,0.00147929
Fidel,Switzerland,2,"('Fidel', 'Switzerland')",1,169,0.023668639
Sri Lanka,Switzerland,2,"('Sri Lanka', 'Switzerland')",1,169,0.023668639
Isabelle,Switzerland,2,"('Isabelle', 'Switzerland')",2,169,0.01183432
Jordi,Switzerland,1,"('Jordi', 'Switzerland')",2,169,0.00295858
Colina,Switzerland,1,"('Colina', 'Switzerland')",1,169,0.00591716
Arthur,Switzerland,1,"('Arthur', 'Switzerland')",2,169,0.00295858
Florian,Switzerland,1,"('Florian', 'Switzerland')",2,169,0.00295858
Edwin,Switzerland,4,"('Edwin', 'Switzerland')",1,169,0.094674556
Rea,Switzerland,1,"('Rea', 'Switzerland')",1,169,0.00591716
Katrin,Switzerland,2,"('Katrin', 'Switzerland')",1,169,0.023668639
Leon,Switzerland,1,"('Leon', 'Switzerland')",4,169,0.00147929
Andreas,Switzerland,1,"('Andreas', 'Switzerland')",7,169,0.000845309
Susan,Switzerland,1,"('Susan', 'Switzerland')",1,169,0.00591716
Simon,Switzerland,2,"('Simon', 'Switzerland')",2,169,0.01183432
Karoline,Switzerland,1,"('Karoline', 'Switzerland')",1,169,0.00591716
Jean-Christophe,Switzerland,1,"('Jean-Christophe', 'Switzerland')",1,169,0.00591716
Katharina,Switzerland,1,"('Katharina', 'Switzerland')",2,169,0.00295858
Patrizia,Switzerland,1,"('Patrizia', 'Switzerland')",1,169,0.00591716
Michele,Switzerland,6,"('Michele', 'Switzerland')",2,169,0.106508876
Monaco,Switzerland,1,"('Monaco', 'Switzerland')",1,169,0.00591716
Petr,Switzerland,1,"('Petr', 'Switzerland')",1,169,0.00591716
Isaline,Switzerland,1,"('Isaline', 'Switzerland')",1,169,0.00591716
Ho Fai,Switzerland,2,"('Ho Fai', 'Switzerland')",2,169,0.01183432
Naomi,Switzerland,2,"('Naomi', 'Switzerland')",2,169,0.01183432
Denmark,Nina,1,"('Denmark', 'Nina')",127,1,0.007874016
Netherlands,Nina,1,"('Netherlands', 'Nina')",475,1,0.002105263
Germany,Nina,1,"('Germany', 'Nina')",428,1,0.002336449
Denmark,Laura,4,"('Denmark', 'Laura')",127,6,0.020997375
Germany,Laura,3,"('Germany', 'Laura')",428,6,0.003504673
Finland,Laura,2,"('Finland', 'Laura')",163,6,0.00408998
Italy,Laura,4,"('Italy', 'Laura')",219,6,0.01217656
Emilia,Laura,1,"('Emilia', 'Laura')",2,6,0.083333333
Ann-Louise,Laura,1,"('Ann-Louise', 'Laura')",1,6,0.166666667
Ase Marie,Laura,1,"('Ase Marie', 'Laura')",1,6,0.166666667
Anthony,Laura,1,"('Anthony', 'Laura')",3,6,0.055555556
Cass,Laura,1,"('Cass', 'Laura')",1,6,0.166666667
Denmark,Paul Maurice,4,"('Denmark', 'Paul Maurice')",127,1,0.125984252
Italy,Paul Maurice,2,"('Italy', 'Paul Maurice')",219,1,0.01826484
Laura,Paul Maurice,1,"('Laura', 'Paul Maurice')",6,1,0.166666667
Ann-Louise,Paul Maurice,1,"('Ann-Louise', 'Paul Maurice')",1,1,1
Ase Marie,Paul Maurice,1,"('Ase Marie', 'Paul Maurice')",1,1,1
Denmark,Wencke,1,"('Denmark', 'Wencke')",127,1,0.007874016
Esben Rahbek Gjerdrum,Wencke,1,"('Esben Rahbek Gjerdrum', 'Wencke')",2,1,0.5
Denmark,Sophie Esmann,1,"('Denmark', 'Sophie Esmann')",127,1,0.007874016
Christiane Marie,Sophie Esmann,1,"('Christiane Marie', 'Sophie Esmann')",1,1,1
Denmark,Karin,1,"('Denmark', 'Karin')",127,2,0.003937008
Germany,Karin,1,"('Germany', 'Karin')",428,2,0.001168224
Finland,Karin,1,"('Finland', 'Karin')",163,2,0.003067485
Andreas,Karin,1,"('Andreas', 'Karin')",7,2,0.071428571
Denmark,Matthias,1,"('Denmark', 'Matthias')",127,4,0.001968504
Belgium,Matthias,1,"('Belgium', 'Matthias')",208,4,0.001201923
Germany,Matthias,3,"('Germany', 'Matthias')",428,4,0.005257009
France,Matthias,1,"('France', 'Matthias')",593,4,0.000421585
Austria,Matthias,4,"('Austria', 'Matthias')",58,4,0.068965517
Felix,Matthias,1,"('Felix', 'Matthias')",5,4,0.05
Matthias,Matthias,1,"('Matthias', 'Matthias')",4,4,0.0625
Johan,Matthias,1,"('Johan', 'Matthias')",3,4,0.083333333
Denmark,Johan,1,"('Denmark', 'Johan')",127,3,0.002624672
Belgium,Johan,1,"('Belgium', 'Johan')",208,3,0.001602564
Germany,Johan,1,"('Germany', 'Johan')",428,3,0.000778816
France,Johan,1,"('France', 'Johan')",593,3,0.000562114
Denmark,Sebastian,1,"('Denmark', 'Sebastian')",127,3,0.002624672
Australia,Sebastian,1,"('Australia', 'Sebastian')",853,3,0.000390778
Netherlands,Sebastian,1,"('Netherlands', 'Sebastian')",475,3,0.000701754
Germany,Sebastian,2,"('Germany', 'Sebastian')",428,3,0.003115265
Austria,Sebastian,1,"('Austria', 'Sebastian')",58,3,0.005747126
Achim,Sebastian,1,"('Achim', 'Sebastian')",1,3,0.333333333
Denmark,U Arab Emirates,1,"('Denmark', 'U Arab Emirates')",127,37,0.000212811
Australia,U Arab Emirates,6,"('Australia', 'U Arab Emirates')",853,37,0.001140648
Saudi Arabia,U Arab Emirates,1,"('Saudi Arabia', 'U Arab Emirates')",19,37,0.001422475
Peoples R China,U Arab Emirates,8,"('Peoples R China', 'U Arab Emirates')",994,37,0.001740171
Canada,U Arab Emirates,3,"('Canada', 'U Arab Emirates')",1030,37,0.000236158
Brazil,U Arab Emirates,1,"('Brazil', 'U Arab Emirates')",71,37,0.000380662
Oman,U Arab Emirates,1,"('Oman', 'U Arab Emirates')",5,37,0.005405405
Belgium,U Arab Emirates,1,"('Belgium', 'U Arab Emirates')",208,37,0.000129938
Netherlands,U Arab Emirates,1,"('Netherlands', 'U Arab Emirates')",475,37,5.69E-05
Taiwan,U Arab Emirates,1,"('Taiwan', 'U Arab Emirates')",211,37,0.00012809
Chile,U Arab Emirates,1,"('Chile', 'U Arab Emirates')",12,37,0.002252252
France,U Arab Emirates,4,"('France', 'U Arab Emirates')",593,37,0.000729228
South Korea,U Arab Emirates,2,"('South Korea', 'U Arab Emirates')",165,37,0.000655201
U Arab Emirates,U Arab Emirates,3,"('U Arab Emirates', 'U Arab Emirates')",37,37,0.006574142
Austria,U Arab Emirates,1,"('Austria', 'U Arab Emirates')",58,37,0.000465983
Egypt,U Arab Emirates,3,"('Egypt', 'U Arab Emirates')",21,37,0.011583012
Lebanon,U Arab Emirates,1,"('Lebanon', 'U Arab Emirates')",39,37,0.000693001
Belaid,U Arab Emirates,1,"('Belaid', 'U Arab Emirates')",1,37,0.027027027
Anis,U Arab Emirates,1,"('Anis', 'U Arab Emirates')",1,37,0.027027027
Stijn,U Arab Emirates,1,"('Stijn', 'U Arab Emirates')",2,37,0.013513514
Maxwell,U Arab Emirates,1,"('Maxwell', 'U Arab Emirates')",1,37,0.027027027
Haseeb Ahmed,U Arab Emirates,1,"('Haseeb Ahmed', 'U Arab Emirates')",1,37,0.027027027
Mohammed,U Arab Emirates,1,"('Mohammed', 'U Arab Emirates')",2,37,0.013513514
Denmark,Thyra Uth,1,"('Denmark', 'Thyra Uth')",127,1,0.007874016
France,Thyra Uth,1,"('France', 'Thyra Uth')",593,1,0.001686341
Denmark,Lebanon,2,"('Denmark', 'Lebanon')",127,39,0.000807591
Australia,Lebanon,5,"('Australia', 'Lebanon')",853,39,0.000751495
Canada,Lebanon,4,"('Canada', 'Lebanon')",1030,39,0.000398307
France,Lebanon,3,"('France', 'Lebanon')",593,39,0.000389156
Jordan,Lebanon,1,"('Jordan', 'Lebanon')",9,39,0.002849003
Lebanon,Lebanon,4,"('Lebanon', 'Lebanon')",39,39,0.010519395
Dima,Lebanon,2,"('Dima', 'Lebanon')",3,39,0.034188034
Fernando,Lebanon,1,"('Fernando', 'Lebanon')",2,39,0.012820513
Aly,Lebanon,1,"('Aly', 'Lebanon')",1,39,0.025641026
Fotios,Lebanon,1,"('Fotios', 'Lebanon')",1,39,0.025641026
Denmark,South Africa,1,"('Denmark', 'South Africa')",127,84,9.37E-05
Australia,South Africa,13,"('Australia', 'South Africa')",853,84,0.002358622
Peoples R China,South Africa,6,"('Peoples R China', 'South Africa')",994,84,0.000431158
Canada,South Africa,6,"('Canada', 'South Africa')",1030,84,0.000416089
South Africa,South Africa,18,"('South Africa', 'South Africa')",84,84,0.045918367
Norway,South Africa,2,"('Norway', 'South Africa')",107,84,0.000445038
Brazil,South Africa,2,"('Brazil', 'South Africa')",71,84,0.000670691
Oman,South Africa,2,"('Oman', 'South Africa')",5,84,0.00952381
Belgium,South Africa,8,"('Belgium', 'South Africa')",208,84,0.003663004
Netherlands,South Africa,3,"('Netherlands', 'South Africa')",475,84,0.000225564
Russia,South Africa,2,"('Russia', 'South Africa')",20,84,0.002380952
Mexico,South Africa,4,"('Mexico', 'South Africa')",46,84,0.004140787
India,South Africa,2,"('India', 'South Africa')",122,84,0.00039032
Portugal,South Africa,6,"('Portugal', 'South Africa')",114,84,0.003759398
Malaysia,South Africa,2,"('Malaysia', 'South Africa')",46,84,0.001035197
Singapore,South Africa,2,"('Singapore', 'South Africa')",85,84,0.000560224
France,South Africa,7,"('France', 'South Africa')",593,84,0.000983699
Italy,South Africa,2,"('Italy', 'South Africa')",219,84,0.000217439
New Zealand,South Africa,1,"('New Zealand', 'South Africa')",146,84,8.15E-05
Nigeria,South Africa,3,"('Nigeria', 'South Africa')",16,84,0.006696429
Jon,South Africa,1,"('Jon', 'South Africa')",1,84,0.011904762
Nathalie,South Africa,1,"('Nathalie', 'South Africa')",1,84,0.011904762
Egypt,South Africa,2,"('Egypt', 'South Africa')",21,84,0.002267574
Anneli,South Africa,2,"('Anneli', 'South Africa')",2,84,0.023809524
Lebanon,South Africa,1,"('Lebanon', 'South Africa')",39,84,0.00030525
Hungary,South Africa,2,"('Hungary', 'South Africa')",9,84,0.005291005
Francois,South Africa,1,"('Francois', 'South Africa')",3,84,0.003968254
North Macedonia,South Africa,2,"('North Macedonia', 'South Africa')",6,84,0.007936508
Farai,South Africa,1,"('Farai', 'South Africa')",1,84,0.011904762
Ralph,South Africa,4,"('Ralph', 'South Africa')",2,84,0.095238095
Jeroen,South Africa,2,"('Jeroen', 'South Africa')",11,84,0.004329004
Elfi,South Africa,1,"('Elfi', 'South Africa')",2,84,0.005952381
Chris,South Africa,1,"('Chris', 'South Africa')",5,84,0.002380952
Rachel,South Africa,2,"('Rachel', 'South Africa')",6,84,0.007936508
Slovenia,South Africa,2,"('Slovenia', 'South Africa')",31,84,0.001536098
Gavin,South Africa,1,"('Gavin', 'South Africa')",2,84,0.005952381
Jingqiu,South Africa,2,"('Jingqiu', 'South Africa')",4,84,0.011904762
Romania,South Africa,2,"('Romania', 'South Africa')",8,84,0.005952381
Johan,South Africa,1,"('Johan', 'South Africa')",3,84,0.003968254
Lode,South Africa,1,"('Lode', 'South Africa')",1,84,0.011904762
Brigitte,South Africa,2,"('Brigitte', 'South Africa')",3,84,0.015873016
Abdulgawi Salim,South Africa,2,"('Abdulgawi Salim', 'South Africa')",2,84,0.023809524
Malta,South Africa,2,"('Malta', 'South Africa')",2,84,0.023809524
Luigina,South Africa,2,"('Luigina', 'South Africa')",2,84,0.023809524
Jian,South Africa,2,"('Jian', 'South Africa')",4,84,0.011904762
Marko,South Africa,2,"('Marko', 'South Africa')",2,84,0.023809524
Shaik Mahmood,South Africa,2,"('Shaik Mahmood', 'South Africa')",1,84,0.047619048
Kosheek,South Africa,1,"('Kosheek', 'South Africa')",1,84,0.011904762
Ghana,South Africa,1,"('Ghana', 'South Africa')",5,84,0.002380952
Lulamile,South Africa,3,"('Lulamile', 'South Africa')",1,84,0.107142857
Gina,South Africa,3,"('Gina', 'South Africa')",1,84,0.107142857
Cherise,South Africa,1,"('Cherise', 'South Africa')",1,84,0.011904762
Louis,South Africa,1,"('Louis', 'South Africa')",1,84,0.011904762
Puneet,South Africa,1,"('Puneet', 'South Africa')",1,84,0.011904762
Gloria Xiaocheng,South Africa,3,"('Gloria Xiaocheng', 'South Africa')",1,84,0.107142857
Paraskevas,South Africa,3,"('Paraskevas', 'South Africa')",1,84,0.107142857
Obaa Akua,South Africa,2,"('Obaa Akua', 'South Africa')",2,84,0.023809524
Smaranda,South Africa,2,"('Smaranda', 'South Africa')",2,84,0.023809524
Denmark,Moritz,1,"('Denmark', 'Moritz')",127,5,0.001574803
Mexico,Moritz,1,"('Mexico', 'Moritz')",46,5,0.004347826
Germany,Moritz,2,"('Germany', 'Moritz')",428,5,0.001869159
France,Moritz,1,"('France', 'Moritz')",593,5,0.000337268
Italy,Moritz,2,"('Italy', 'Moritz')",219,5,0.003652968
Christian,Moritz,1,"('Christian', 'Moritz')",6,5,0.033333333
Denmark,George,1,"('Denmark', 'George')",127,6,0.001312336
Canada,George,3,"('Canada', 'George')",1030,6,0.001456311
Fritz,George,1,"('Fritz', 'George')",1,6,0.166666667
Birger Boutrup,George,1,"('Birger Boutrup', 'George')",1,6,0.166666667
Australia,Australia,277,"('Australia', 'Australia')",853,853,0.105453616
Allan,Australia,1,"('Allan', 'Australia')",1,853,0.001172333
Alan,Australia,1,"('Alan', 'Australia')",5,853,0.000234467
Alina,Australia,1,"('Alina', 'Australia')",1,853,0.001172333
Amanda,Australia,2,"('Amanda', 'Australia')",3,853,0.001563111
Alison,Australia,1,"('Alison', 'Australia')",2,853,0.000586166
Andre,Australia,3,"('Andre', 'Australia')",3,853,0.003516999
Andrea,Australia,1,"('Andrea', 'Australia')",11,853,0.000106576
Arifur,Australia,2,"('Arifur', 'Australia')",2,853,0.002344666
Adang,Australia,1,"('Adang', 'Australia')",1,853,0.001172333
Ace Volkmann,Australia,1,"('Ace Volkmann', 'Australia')",1,853,0.001172333
Alice,Australia,2,"('Alice', 'Australia')",2,853,0.002344666
Alexander,Australia,3,"('Alexander', 'Australia')",5,853,0.002110199
Alessandra,Australia,6,"('Alessandra', 'Australia')",2,853,0.021101993
Angelo,Australia,2,"('Angelo', 'Australia')",1,853,0.004689332
Andriyawan,Australia,3,"('Andriyawan', 'Australia')",1,853,0.010550996
Amlan,Australia,2,"('Amlan', 'Australia')",1,853,0.004689332
Achim,Australia,1,"('Achim', 'Australia')",1,853,0.001172333
Anna Clare,Australia,1,"('Anna Clare', 'Australia')",1,853,0.001172333
Andrew,Australia,1,"('Andrew', 'Australia')",1,853,0.001172333
Adela,Australia,1,"('Adela', 'Australia')",1,853,0.001172333
Australia,Hong Kong,1,"('Australia', 'Hong Kong')",853,2,0.000586166
Australia,Oman,3,"('Australia', 'Oman')",853,5,0.002110199
Canada,Oman,2,"('Canada', 'Oman')",1030,5,0.000776699
Brazil,Oman,2,"('Brazil', 'Oman')",71,5,0.011267606
Belgium,Oman,2,"('Belgium', 'Oman')",208,5,0.003846154
Mexico,Oman,4,"('Mexico', 'Oman')",46,5,0.069565217
Malaysia,Oman,2,"('Malaysia', 'Oman')",46,5,0.017391304
France,Oman,2,"('France', 'Oman')",593,5,0.001349073
Italy,Oman,2,"('Italy', 'Oman')",219,5,0.003652968
New Zealand,Oman,1,"('New Zealand', 'Oman')",146,5,0.001369863
Nigeria,Oman,3,"('Nigeria', 'Oman')",16,5,0.1125
Egypt,Oman,2,"('Egypt', 'Oman')",21,5,0.038095238
Hungary,Oman,2,"('Hungary', 'Oman')",9,5,0.088888889
North Macedonia,Oman,2,"('North Macedonia', 'Oman')",6,5,0.133333333
Jingqiu,Oman,2,"('Jingqiu', 'Oman')",4,5,0.2
Brigitte,Oman,2,"('Brigitte', 'Oman')",3,5,0.266666667
Abdulgawi Salim,Oman,2,"('Abdulgawi Salim', 'Oman')",2,5,0.4
Malta,Oman,2,"('Malta', 'Oman')",2,5,0.4
Luigina,Oman,2,"('Luigina', 'Oman')",2,5,0.4
Jian,Oman,2,"('Jian', 'Oman')",4,5,0.2
Marko,Oman,2,"('Marko', 'Oman')",2,5,0.4
Mohammed,Oman,2,"('Mohammed', 'Oman')",2,5,0.4
Australia,Indonesia,9,"('Australia', 'Indonesia')",853,20,0.004747948
Germany,Indonesia,1,"('Germany', 'Indonesia')",428,20,0.000116822
France,Indonesia,7,"('France', 'Indonesia')",593,20,0.004131535
Egypt,Indonesia,2,"('Egypt', 'Indonesia')",21,20,0.00952381
Indonesia,Indonesia,2,"('Indonesia', 'Indonesia')",20,20,0.01
Felix,Indonesia,1,"('Felix', 'Indonesia')",5,20,0.01
Chun-Hsi Vivian,Indonesia,1,"('Chun-Hsi Vivian', 'Indonesia')",1,20,0.05
Charbel Jose Chiappetta,Indonesia,5,"('Charbel Jose Chiappetta', 'Indonesia')",4,20,0.3125
Charbel Jose,Indonesia,1,"('Charbel Jose', 'Indonesia')",1,20,0.05
Australia,Canada,69,"('Australia', 'Canada')",853,1030,0.00541891
Canada,Canada,316,"('Canada', 'Canada')",1030,1030,0.094123857
Brazil,Canada,21,"('Brazil', 'Canada')",71,1030,0.006030357
Belgium,Canada,19,"('Belgium', 'Canada')",208,1030,0.001685026
Austria,Canada,7,"('Austria', 'Canada')",58,1030,0.000820221
Argentina,Canada,3,"('Argentina', 'Canada')",12,1030,0.000728155
Alex,Canada,1,"('Alex', 'Canada')",4,1030,0.000242718
Burkard,Canada,1,"('Burkard', 'Canada')",1,1030,0.000970874
Brent,Canada,1,"('Brent', 'Canada')",1,1030,0.000970874
Bouchra,Canada,1,"('Bouchra', 'Canada')",1,1030,0.000970874
Cameroon,Canada,1,"('Cameroon', 'Canada')",5,1030,0.000194175
Andrea,Canada,1,"('Andrea', 'Canada')",11,1030,8.83E-05
Barbara,Canada,1,"('Barbara', 'Canada')",6,1030,0.000161812
A. Wren,Canada,1,"('A. Wren', 'Canada')",1,1030,0.000970874
Al-Karim,Canada,3,"('Al-Karim', 'Canada')",1,1030,0.008737864
Alyson,Canada,2,"('Alyson', 'Canada')",1,1030,0.003883495
Alexander,Canada,2,"('Alexander', 'Canada')",5,1030,0.000776699
Antje,Canada,1,"('Antje', 'Canada')",1,1030,0.000970874
Asma,Canada,1,"('Asma', 'Canada')",1,1030,0.000970874
Amalia,Canada,1,"('Amalia', 'Canada')",1,1030,0.000970874
Bianca,Canada,1,"('Bianca', 'Canada')",1,1030,0.000970874
Bryan,Canada,1,"('Bryan', 'Canada')",2,1030,0.000485437
Ayesha,Canada,1,"('Ayesha', 'Canada')",1,1030,0.000970874
Brigitte,Canada,2,"('Brigitte', 'Canada')",3,1030,0.001294498
Abdulgawi Salim,Canada,2,"('Abdulgawi Salim', 'Canada')",2,1030,0.001941748
Babatunde,Canada,1,"('Babatunde', 'Canada')",1,1030,0.000970874
Bruno,Canada,3,"('Bruno', 'Canada')",1,1030,0.008737864
Ajnesh,Canada,1,"('Ajnesh', 'Canada')",1,1030,0.000970874
Camille,Canada,3,"('Camille', 'Canada')",3,1030,0.002912621
Bangladesh,Canada,1,"('Bangladesh', 'Canada')",3,1030,0.000323625
Bonnie,Canada,2,"('Bonnie', 'Canada')",1,1030,0.003883495
Camelia,Canada,1,"('Camelia', 'Canada')",1,1030,0.000970874
Australia,Stewart,2,"('Australia', 'Stewart')",853,2,0.002344666
Sandra,Stewart,1,"('Sandra', 'Stewart')",5,2,0.1
Geoff,Stewart,1,"('Geoff', 'Stewart')",1,2,0.5
Nicholas,Stewart,1,"('Nicholas', 'Stewart')",3,2,0.166666667
Australia,Sandra,1,"('Australia', 'Sandra')",853,5,0.000234467
Canada,Sandra,3,"('Canada', 'Sandra')",1030,5,0.001747573
Brazil,Sandra,1,"('Brazil', 'Sandra')",71,5,0.002816901
Geoff,Sandra,1,"('Geoff', 'Sandra')",1,5,0.2
Australia,Geoff,1,"('Australia', 'Geoff')",853,1,0.001172333
Australia,Carmel,1,"('Australia', 'Carmel')",853,1,0.001172333
Australia,Ron,1,"('Australia', 'Ron')",853,2,0.000586166
Nick,Ron,1,"('Nick', 'Ron')",6,2,0.083333333
Australia,Nick,2,"('Australia', 'Nick')",853,6,0.000781555
Germany,Nick,2,"('Germany', 'Nick')",428,6,0.001557632
Amanda,Nick,1,"('Amanda', 'Nick')",3,6,0.055555556
Jeffery,Nick,1,"('Jeffery', 'Nick')",1,6,0.166666667
Australia,Prue,1,"('Australia', 'Prue')",853,1,0.001172333
Australia,Rosaria,2,"('Australia', 'Rosaria')",853,1,0.004689332
Australia,Jessica,1,"('Australia', 'Jessica')",853,2,0.000586166
Canada,Jessica,1,"('Canada', 'Jessica')",1030,2,0.000485437
Australia,Jeanette,2,"('Australia', 'Jeanette')",853,2,0.002344666
Alina,Jeanette,1,"('Alina', 'Jeanette')",1,2,0.5
Australia,Greg,2,"('Australia', 'Greg')",853,2,0.002344666
Canada,Greg,1,"('Canada', 'Greg')",1030,2,0.000485437
Australia,Jang,1,"('Australia', 'Jang')",853,1,0.001172333
Canada,Jang,1,"('Canada', 'Jang')",1030,1,0.000970874
Greg,Jang,1,"('Greg', 'Jang')",2,1,0.5
Australia,Justine,1,"('Australia', 'Justine')",853,1,0.001172333
Australia,Wayne,1,"('Australia', 'Wayne')",853,1,0.001172333
Australia,Carl,1,"('Australia', 'Carl')",853,1,0.001172333
Alison,Carl,1,"('Alison', 'Carl')",2,1,0.5
Australia,Tamsin,1,"('Australia', 'Tamsin')",853,1,0.001172333
Louise,Tamsin,1,"('Louise', 'Tamsin')",2,1,0.5
Australia,Louise,2,"('Australia', 'Louise')",853,2,0.002344666
Christine,Louise,1,"('Christine', 'Louise')",1,2,0.5
Australia,Ian,1,"('Australia', 'Ian')",853,3,0.000390778
Harvinder,Ian,1,"('Harvinder', 'Ian')",1,3,0.333333333
Australia,Petya,1,"('Australia', 'Petya')",853,1,0.001172333
France,Petya,1,"('France', 'Petya')",593,1,0.001686341
Australia,Mario,2,"('Australia', 'Mario')",853,5,0.000937866
Canada,Mario,1,"('Canada', 'Mario')",1030,5,0.000194175
Germany,Mario,2,"('Germany', 'Mario')",428,5,0.001869159
Italy,Mario,2,"('Italy', 'Mario')",219,5,0.003652968
Fabio,Mario,1,"('Fabio', 'Mario')",1,5,0.2
Denise,Mario,1,"('Denise', 'Mario')",5,5,0.04
Australia,Nicholas,1,"('Australia', 'Nicholas')",853,3,0.000390778
Anthony,Nicholas,1,"('Anthony', 'Nicholas')",3,3,0.111111111
Australia,Japan,8,"('Australia', 'Japan')",853,24,0.003126221
Israel,Japan,1,"('Israel', 'Japan')",57,24,0.000730994
Canada,Japan,5,"('Canada', 'Japan')",1030,24,0.001011327
Brazil,Japan,3,"('Brazil', 'Japan')",71,24,0.00528169
Germany,Japan,1,"('Germany', 'Japan')",428,24,9.74E-05
Finland,Japan,1,"('Finland', 'Japan')",163,24,0.000255624
France,Japan,1,"('France', 'Japan')",593,24,7.03E-05
Italy,Japan,1,"('Italy', 'Japan')",219,24,0.000190259
Croatia,Japan,1,"('Croatia', 'Japan')",6,24,0.006944444
Japan,Japan,1,"('Japan', 'Japan')",24,24,0.001736111
Austria,Japan,1,"('Austria', 'Japan')",58,24,0.000718391
Estonia,Japan,1,"('Estonia', 'Japan')",13,24,0.003205128
Colombia,Japan,1,"('Colombia', 'Japan')",17,24,0.00245098
Fidel,Japan,1,"('Fidel', 'Japan')",1,24,0.041666667
Australia,Lindi Renier,2,"('Australia', 'Lindi Renier')",853,1,0.004689332
Australia,Theodora,1,"('Australia', 'Theodora')",853,1,0.001172333
Australia,Max,1,"('Australia', 'Max')",853,1,0.001172333
Australia,Deanna,2,"('Australia', 'Deanna')",853,1,0.004689332
Australia,Nora,2,"('Australia', 'Nora')",853,1,0.004689332
Deanna,Nora,1,"('Deanna', 'Nora')",1,1,1
Australia,Kathryn,2,"('Australia', 'Kathryn')",853,3,0.001563111
Edward,Kathryn,1,"('Edward', 'Kathryn')",2,3,0.166666667
Australia,Austria,8,"('Australia', 'Austria')",853,58,0.001293609
Austria,Austria,16,"('Austria', 'Austria')",58,58,0.076099881
Anna Katharina,Austria,2,"('Anna Katharina', 'Austria')",2,58,0.034482759
Achim,Austria,1,"('Achim', 'Austria')",1,58,0.017241379
Australia,Colombia,8,"('Australia', 'Colombia')",853,17,0.004413489
Canada,Colombia,7,"('Canada', 'Colombia')",1030,17,0.002798401
Brazil,Colombia,4,"('Brazil', 'Colombia')",71,17,0.013256007
Austria,Colombia,2,"('Austria', 'Colombia')",58,17,0.004056795
Argentina,Colombia,3,"('Argentina', 'Colombia')",12,17,0.044117647
Colombia,Colombia,1,"('Colombia', 'Colombia')",17,17,0.003460208
Alvaro,Colombia,1,"('Alvaro', 'Colombia')",2,17,0.029411765
Australia,Croatia,7,"('Australia', 'Croatia')",853,6,0.009574052
Canada,Croatia,7,"('Canada', 'Croatia')",1030,6,0.007928803
Brazil,Croatia,4,"('Brazil', 'Croatia')",71,6,0.037558685
Croatia,Croatia,1,"('Croatia', 'Croatia')",6,6,0.027777778
Austria,Croatia,2,"('Austria', 'Croatia')",58,6,0.011494253
Colombia,Croatia,2,"('Colombia', 'Croatia')",17,6,0.039215686
Australia,Brazil,16,"('Australia', 'Brazil')",853,71,0.004227003
Brazil,Brazil,31,"('Brazil', 'Brazil')",71,71,0.190636778
Belgium,Brazil,2,"('Belgium', 'Brazil')",208,71,0.000270856
Austria,Brazil,4,"('Austria', 'Brazil')",58,71,0.003885381
Argentina,Brazil,1,"('Argentina', 'Brazil')",12,71,0.001173709
Armenio,Brazil,1,"('Armenio', 'Brazil')",6,71,0.002347418
Abdulgawi Salim,Brazil,2,"('Abdulgawi Salim', 'Brazil')",2,71,0.028169014
Australia,Gerdien,1,"('Australia', 'Gerdien')",853,1,0.001172333
Australia,Julie,1,"('Australia', 'Julie')",853,1,0.001172333
Australia,Fang,1,"('Australia', 'Fang')",853,1,0.001172333
Australia,Tania,1,"('Australia', 'Tania')",853,1,0.001172333
Jennifer,Tania,1,"('Jennifer', 'Tania')",9,1,0.111111111
Australia,Elizabeth Prior,3,"('Australia', 'Elizabeth Prior')",853,3,0.003516999
Australia,Margaret,2,"('Australia', 'Margaret')",853,3,0.001563111
Helen,Margaret,1,"('Helen', 'Margaret')",2,3,0.166666667
Elizabeth Prior,Margaret,2,"('Elizabeth Prior', 'Margaret')",3,3,0.444444444
Australia,Gavin,2,"('Australia', 'Gavin')",853,2,0.002344666
Australia,Joanna,1,"('Australia', 'Joanna')",853,1,0.001172333
Australia,Elizabeth,2,"('Australia', 'Elizabeth')",853,2,0.002344666
Cassandra,Elizabeth,1,"('Cassandra', 'Elizabeth')",1,2,0.5
Australia,Gladys,1,"('Australia', 'Gladys')",853,1,0.001172333
Australia,Yuchao,2,"('Australia', 'Yuchao')",853,1,0.004689332
