,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Spain,99.0,35.0,220.0,48.0,45.0,2109.0,226.0,155.0,3338.0,198.0,102.0,47.0,,28.0,1.0,635.0,568.0,126.0,,,,71.0,1619.0,802.0,2542.0,72.0,269.0,124.0,34.0,,,28.0,18.0,300.0,50.0,105.0,37.0,128.0,13.0,2226.0,25.0,1414.0,12.0,5855.0,1541.0,67.0,1431.0,21.0,,35.0,27.0,45.0,1498.0,48.0,9.0
USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,2132.0,1.0,,3.0,36.0,,1726.0,7.0,1.0,17001.0,,12.0,,6222.0,458.0,28.0,16.0,34.0,,,,32.0,10.0,57.0,34.0,801.0,53.0,,3.0,28.0,,,39.0,42.0,1.0,80.0,,95.0,164.0,57.0,697.0,65.0,,14.0,5.0,460.0,2.0,796.0,18.0,28.0,148.0,4442.0,6033.0,1945.0,364.0
South Africa,60.0,1.0,37.0,,23.0,4.0,109.0,13.0,7.0,787.0,6.0,,,5.0,318.0,84.0,35.0,21.0,,,,11.0,25.0,109.0,5.0,30.0,29.0,35.0,1.0,18.0,,39.0,,85.0,28.0,204.0,1.0,13.0,1.0,118.0,,857.0,,17.0,41.0,22.0,8.0,17.0,,88.0,20.0,1906.0,322.0,110.0,1006.0
Belgium,91.0,6.0,297.0,2.0,36.0,28.0,553.0,91.0,69.0,95.0,79.0,33.0,,121.0,4.0,272.0,199.0,41.0,,,,17.0,178.0,2288.0,108.0,79.0,62.0,54.0,,300.0,,42.0,85.0,,27.0,89.0,3.0,79.0,1.0,6722.0,,732.0,,124.0,139.0,97.0,54.0,8.0,,29.0,24.0,156.0,1113.0,15.0,115.0
Israel,,,8.0,93.0,1.0,13.0,,88.0,4.0,128.0,739.0,,,,,93.0,1619.0,22.0,,,,13.0,5.0,114.0,20.0,9.0,26.0,22.0,6.0,50.0,,1.0,28.0,27.0,,156.0,1.0,26.0,,267.0,2876.0,153.0,,14.0,27.0,2.0,8.0,5.0,,,2.0,7.0,65.0,16.0,4.0
Canada,843.0,6.0,32.0,3.0,777.0,114.0,243.0,53.0,204.0,3837.0,180.0,234.0,,591.0,,468.0,149.0,120.0,,,,69.0,36.0,219.0,1338.0,705.0,201.0,99.0,11.0,105.0,,80.0,204.0,89.0,156.0,,9.0,837.0,3195.0,1685.0,72.0,975.0,1.0,672.0,54.0,900.0,6.0,336.0,,640.0,91.0,2490.0,34602.0,400.0,420.0
Estonia,9.0,1.0,8.0,8.0,1.0,,2.0,2.0,1.0,24.0,7.0,3.0,,5.0,,32.0,65.0,709.0,,,,7.0,29.0,138.0,3.0,8.0,126.0,86.0,,37.0,,,1.0,3.0,1.0,9.0,,5.0,,132.0,,28.0,,7.0,9.0,4.0,2.0,1.0,,2.0,1.0,6.0,75.0,1.0,
Japan,,1.0,21.0,1.0,,,40.0,163.0,,1855.0,214.0,,,,,262.0,315.0,138.0,,,,30.0,10.0,114.0,,39.0,120.0,63.0,2.0,128.0,,95.0,13.0,79.0,26.0,837.0,5.0,,,1661.0,,,,,358.0,,,,,7.0,345.0,,,715.0,
Kuwait,,1.0,2.0,1.0,,,244.0,,,494.0,,,,,,9.0,4.0,1.0,,,,,,,,55.0,2.0,,,13.0,,164.0,1.0,1.0,,3195.0,,,,96.0,1722.0,,,,1.0,,,,,963.0,,,,21.0,
