,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
Malaysia,2.397895273,2.397895273,2.079441542,2.63905733,2.564949357,2.63905733,2.397895273,2.197224577,2.564949357,5.342334252,2.564949357,1.098612289,3.526360525,2.564949357,2.63905733,3.688879454,3.761200116,3.663561646,6.021023349,2.564949357,0,1.609437912,2.890371758,5.257495372,0,2.302585093,3.526360525,3.33220451,2.564949357,5.214935758,7.817625443,0,2.564949357,4.158883083,2.48490665,6.00635316,2.079441542,1.609437912,2.48490665,4.465908119,2.63905733,4.406719247,2.564949357,2.564949357,0,2.397895273,2.302585093,0,0,0,2.48490665,2.564949357,5.087596335,3.17805383,2.48490665
South Africa,3.17805383,3.17805383,3.044522438,3.295836866,3.258096538,3.295836866,0.693147181,1.386294361,3.258096538,5.278114659,3.258096538,2.772588722,3.044522438,3.258096538,3.295836866,3.295836866,3.401197382,3.258096538,5.988961417,3.258096538,0,2.079441542,1.609437912,5.187385806,2.48490665,1.098612289,3.044522438,2.708050201,3.258096538,5.141663557,7.812378206,2.564949357,0,3.931825633,0,5.973809612,3.044522438,2.890371758,3.218875825,4.304065093,3.295836866,4.234106505,3.258096538,3.258096538,2.63905733,3.17805383,3.135494216,2.564949357,0,0,3.218875825,3.258096538,5.003946306,2.397895273,3.218875825
Belgium,4.317488114,4.317488114,4.276666119,4.356708827,4.343805422,4.356708827,3.970291914,4.007333185,4.343805422,4.976733742,4.343805422,4.204692619,3.401197382,4.343805422,4.356708827,3.17805383,3.044522438,3.218875825,5.85220248,4.343805422,0,4.077537444,3.828641396,4.852030264,4.143134726,3.988984047,3.401197382,3.583518938,4.343805422,4.787491743,7.791522819,4.158883083,3.931825633,0,3.951243719,5.834810737,4.276666119,4.234106505,4.33073334,3.135494216,4.356708827,2.890371758,4.343805422,4.343805422,4.17438727,4.317488114,4.304065093,4.158883083,0,0,4.33073334,4.343805422,4.584967479,3.688879454,4.33073334
Israel,3.135494216,3.135494216,2.995732274,3.258096538,3.218875825,3.258096538,0,1.098612289,3.218875825,5.283203729,3.218875825,2.708050201,3.091042453,3.218875825,3.258096538,3.33220451,3.433987204,3.295836866,5.991464547,3.218875825,0,1.945910149,1.791759469,5.192956851,2.397895273,0.693147181,3.091042453,2.772588722,3.218875825,5.147494477,7.812782819,2.48490665,0,3.951243719,0,5.976350909,2.995732274,2.833213344,3.17805383,4.317488114,3.258096538,4.248495242,3.218875825,3.218875825,2.564949357,3.135494216,3.091042453,2.48490665,0,0,3.17805383,3.218875825,5.010635294,2.48490665,3.17805383
Canada,6.033086222,6.033086222,6.025865974,6.040254711,6.03787092,6.040254711,5.978885765,5.983936281,6.03787092,5.283203729,6.03787092,6.013715156,5.918893854,6.03787092,6.040254711,5.902633333,5.894402834,5.905361848,1.791759469,6.03787092,0,5.993961427,5.96100534,5.365976015,6.003887067,5.981414211,5.918893854,5.934894196,6.03787092,5.402677382,7.639161172,6.00635316,5.973809612,5.834810737,5.976350909,0,6.025865974,6.018593214,6.035481433,5.765191103,6.040254711,5.780743516,6.03787092,6.03787092,6.008813185,6.033086222,6.03068526,6.00635316,0,0,6.035481433,6.03787092,5.497168225,5.945420609,6.035481433
Estonia,1.098612289,1.098612289,0,1.791759469,1.609437912,1.791759469,2.944438979,2.833213344,1.609437912,5.379897354,1.609437912,1.609437912,3.737669618,1.609437912,1.791759469,3.871201011,3.931825633,3.850147602,6.040254711,1.609437912,0,2.564949357,3.258096538,5.298317367,2.197224577,2.890371758,3.737669618,3.583518938,1.609437912,5.257495372,7.82084088,2.079441542,3.044522438,4.276666119,2.995732274,6.025865974,0,1.098612289,1.386294361,4.553876892,1.791759469,4.49980967,1.609437912,1.609437912,1.945910149,1.098612289,0.693147181,2.079441542,0,0,1.386294361,1.609437912,5.135798437,3.465735903,1.386294361
Japan,1.791759469,1.791759469,1.098612289,2.197224577,2.079441542,2.197224577,2.772588722,2.63905733,2.079441542,5.365976015,2.079441542,0.693147181,3.663561646,2.079441542,2.197224577,3.80666249,3.871201011,3.784189634,6.033086222,2.079441542,0,2.302585093,3.135494216,5.283203729,1.791759469,2.708050201,3.663561646,3.496507561,2.079441542,5.241747015,7.819636302,1.609437912,2.890371758,4.234106505,2.833213344,6.018593214,1.098612289,0,1.945910149,4.521788577,2.197224577,4.465908119,2.079441542,2.079441542,1.386294361,1.791759469,1.609437912,1.609437912,0,0,1.945910149,2.079441542,5.117993812,3.36729583,1.945910149
Kuwait,0,0,1.386294361,0.693147181,0,0.693147181,3.135494216,3.044522438,0,5.398162702,0,2.197224577,3.828641396,0,0.693147181,3.951243719,4.007333185,3.931825633,6.049733455,0,0,2.833213344,3.401197382,5.318119994,2.564949357,3.091042453,3.828641396,3.688879454,0,5.278114659,7.822444729,2.48490665,3.218875825,4.33073334,3.17805383,6.035481433,1.386294361,1.945910149,0,4.59511985,0.693147181,4.543294782,0,0,2.397895273,0,0.693147181,2.48490665,0,0,0,0,5.159055299,3.583518938,0
France,4.584967479,4.584967479,4.553876892,4.615120517,4.605170186,4.615120517,4.33073334,4.356708827,4.605170186,4.804021045,4.605170186,4.49980967,3.970291914,4.605170186,4.615120517,3.850147602,3.784189634,3.871201011,5.783825182,4.605170186,0,4.406719247,4.234106505,4.65396035,4.454347296,4.343805422,3.970291914,4.077537444,4.605170186,4.574710979,7.781973234,4.465908119,4.304065093,3.135494216,4.317488114,5.765191103,4.553876892,4.521788577,4.59511985,0,4.615120517,1.609437912,4.605170186,4.605170186,4.477336814,4.584967479,4.574710979,4.465908119,0,0,4.59511985,4.605170186,4.317488114,4.143134726,4.59511985
Jordan,1.098612289,1.098612289,1.791759469,0,0,0,3.218875825,3.135494216,0,5.407171771,0,2.397895273,3.871201011,0,0,3.988984047,4.043051268,3.970291914,6.054439346,0,0,2.944438979,3.465735903,5.327876169,2.708050201,3.17805383,3.871201011,3.737669618,0,5.288267031,7.823245691,2.63905733,3.295836866,4.356708827,3.258096538,6.040254711,1.791759469,2.197224577,0.693147181,4.615120517,0,4.564348191,0,0,2.564949357,1.098612289,1.386294361,2.63905733,0,0,0.693147181,0,5.170483995,3.63758616,0.693147181
Germany,4.532599493,4.532599493,4.49980967,4.564348191,4.553876892,4.564348191,4.262679877,4.290459441,4.553876892,4.844187086,4.553876892,4.442651256,3.871201011,4.553876892,4.564348191,3.737669618,3.663561646,3.761200116,5.799092654,4.553876892,0,4.343805422,4.158883083,4.700480366,4.394449155,4.276666119,3.871201011,3.988984047,4.553876892,4.624972813,7.784057003,4.406719247,4.234106505,2.890371758,4.248495242,5.780743516,4.49980967,4.465908119,4.543294782,1.609437912,4.564348191,0,4.553876892,4.553876892,4.418840608,4.532599493,4.521788577,4.406719247,0,0,4.543294782,4.553876892,4.382026635,4.060443011,4.543294782
