,Pakistan,Slovenia,Greece,Lithuania,Tunisia,Argentina,India,Austria,Peru,Australia,Hungary,Lebanon,South Korea,Indonesia,Mauritius,Switzerland,Italy,Finland,United Kingdom,Vietnam,Turkiye,Denmark,Portugal,Netherlands,Mexico,Ireland,Sweden,Norway,Croatia,Spain,USA,Malaysia,South Africa,Belgium,Israel,Canada,Estonia,Japan,Kuwait,France,Jordan,Germany,North Macedonia,Colombia,Brazil,Egypt,Chile,Singapore,Ukraine,United Arab Emirates,Thailand,Nigeria,China,New Zealand,Kenya
United Kingdom,8.307594491803759,5.0127875629697325,6.919356881379284,7.09076313272046,7.865681008048295,8.047410609737689,8.323120592733233,7.038690687077713,8.380269892088947,8.380269892088947,6.944906560029415,8.380269892088947,0.0,8.313679869401271,8.251075554906432,7.071941579943207,7.610283289151286,7.916293008632504,-inf,0.0,7.973978258510941,8.079981568939495,3.273332570264091,6.917465146272794,8.307090221308314,6.596167402225149,7.990159540690255,7.5865296989913364,7.825662179352132,7.3022161054660915,5.792499701966615,7.807908495966506,8.263862280379863,6.523002087582381,8.380269892088947,5.783316489890751,6.680704194444175,6.902190234808531,8.283080635810958,5.629701850333652,8.266310030460494,6.452349614281844,8.184215664509333,8.363238425424278,8.15947439408064,0.0,8.265268488635725,7.839996828271682,8.135481224421087,7.538372943534934,8.019458666404738,8.380269892088947,8.019175802222566,6.5961993347136,8.380269892088947
Vietnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkiye,7.047655624040072,8.024440598422348,7.54577004674002,7.440478382543125,5.697442751008811,5.399528415564453,7.101347852555391,8.305059550986114,7.283308607746336,7.283308607746336,7.531841088387654,7.283308607746336,0.0,7.068945002907459,6.832337566153973,8.31454385638168,6.7861963704314725,8.638698704980097,7.973978258510941,0.0,-inf,8.721531024882877,7.983026604761378,8.27235244465446,7.045876833700318,8.198824278150568,8.675248809040102,8.492049499554907,5.992327007582003,7.258978718938387,7.854209422129615,6.096744922554667,6.884144824639758,8.184515822487647,7.283308607746336,8.07999699660615,7.653261840757075,8.268434155252272,6.958424555085771,8.065569332352094,6.893836440110405,8.171480645367376,6.521420058549237,7.231406517945347,6.383438386440269,0.0,6.889721139233608,8.602376925583732,6.232584533950655,6.933050782967694,4.9063310056192435,7.283308607746336,4.899949610048961,8.198830708184488,7.283308607746336
Denmark,8.89339723502431,8.032311602088814,8.352517321158034,8.396154311797495,8.671708109072272,8.756975872460202,8.902069703992895,7.644574581228452,8.934502448644443,8.934502448644443,8.358671845628589,8.934502448644443,0.0,8.896789282667795,8.862330432066203,7.625955924578354,8.565606837854622,6.189463774875787,8.079981568939495,0.0,8.721531024882877,-inf,8.07177275968258,7.704999628613564,8.893116559779692,7.822801421476142,5.625481668435506,7.137050788138844,8.654032154219712,8.458028532647413,8.176674234134623,8.64631678354542,8.869289678637525,7.843281858347453,8.934502448644443,7.973961105357439,8.300541967262987,7.711872699383817,8.879825599125372,7.989762012747409,8.870626503782017,7.861335272264647,8.826603276258378,8.924753132853459,8.813664842839003,0.0,8.870057489967465,6.5352078045610655,8.801263554305075,8.538552330249003,8.743325106081526,8.934502448644443,8.743187962617126,7.822792056183649,8.934502448644443
Portugal,8.314084388764782,4.819668619727576,6.9451168920022655,7.112509179622364,7.875759096079339,8.05582101021462,8.329510823870708,7.015258979278193,8.386306234501742,8.386306234501742,6.970024839850088,8.386306234501742,0.0,8.320130519530736,8.257941525039449,7.049284934553029,7.623274872794396,7.906617199717686,3.273332570264091,0.0,7.983026604761378,8.07177275968258,-inf,6.890973235944589,8.313583381153501,6.5594510412942375,7.981175795825631,7.573048566102227,7.836149609091129,7.319853827760587,5.86994826028319,7.818582779748895,8.27064131115813,6.48344281200359,8.386306234501742,5.698553986569867,6.713295442034653,6.875285021825933,8.289731056805415,5.530142630498116,8.273072544068867,6.409831857679538,8.191554648766102,8.369378138413609,8.166996529251653,0.0,8.272038025555023,7.829549879545022,8.14318532017783,7.552326438967274,8.028106442411483,8.386306234501742,8.027826014170499,6.559484167997496,8.386306234501742
Netherlands,8.529972221901822,6.756274001627749,7.611558641718632,7.701010655888322,8.193135304133042,8.327350947658912,8.542421799028292,4.868587664861293,8.588572518544694,8.588572518544694,7.624427159656402,8.588572518544694,0.0,8.534847205782235,8.484980286050362,5.1279837286606,8.015858088516575,7.456935073446536,6.917465146272794,0.0,8.27235244465446,7.704999628613564,6.890973235944589,-inf,8.52956851674065,5.625726889124843,7.571479152440657,6.868705575525865,8.164453593549684,7.821378948204493,7.198623751714248,8.15183412194507,8.495113636922422,5.796478826234389,8.588572518544694,6.529305611414351,7.499222514488968,2.7282938422485565,8.510394312227643,6.594657088072723,8.497056515041077,5.928435590005076,8.432438612755027,8.574765849608813,8.41318855176518,0.0,8.496229681333103,7.33331030383387,8.394622193412431,7.968502250625826,8.306296502204503,8.588572518544694,8.306084182377825,5.625642610981721,8.588572518544694
Mexico,0.7149446305990459,8.34351269916024,8.019887348680475,7.955663602240922,7.276707981548178,6.831751896472571,4.181845972181516,8.554950925822407,5.729065564587827,5.729065564587827,8.01124031172654,5.729065564587827,0.0,3.2881315226133045,5.397071897304833,8.562345844924753,7.617589447388087,8.823808845947887,8.307090221308314,0.0,7.045876833700318,8.893116559779692,8.313583381153501,8.52956851674065,-inf,8.473196826116324,8.8542754948517,8.703500791805821,7.345016318489382,7.85124079989301,8.22273419126924,7.373075413141909,5.144285898198142,8.462340415816715,5.729065564587827,8.384196201938627,8.088139194834582,8.526540238072657,4.56580731497086,8.373572897946397,5.087210583679326,8.452482830149664,6.149690646192635,5.455535097120091,6.321047935542995,0.0,5.1119130771319945,8.793718361237692,6.459975826634857,7.6842013603369095,6.920644292229871,5.729065564587827,6.921492576356075,8.473201713260096,5.729065564587827
Ireland,8.473623937486439,6.36640183541203,7.46390932141326,7.566883881708763,8.113297245229303,8.257897481934599,8.486790437348313,6.010313028174917,8.535518022210818,8.535518022210818,7.478810118213539,8.535518022210818,0.0,8.478780777731306,8.425960871107602,6.1006565205979175,7.919768175601347,7.605544608576186,6.596167402225149,0.0,8.198824278150568,7.822801421476142,6.5594510412942375,5.625726889124843,8.473196826116324,-inf,7.705030282145916,7.122202576855281,8.082194306758383,7.703399173782338,6.96613242558774,8.068485426973599,8.436706988848377,3.944773969431627,8.535518022210818,6.009914642498059,7.332476021675987,5.56898229651126,8.452899333786108,6.117445465886289,8.438766603083048,4.585912032439173,8.370134086238222,8.52095356348466,8.349633738928988,0.0,8.437890119188289,7.499928707949735,8.329836958708555,7.867509222641331,8.235311529079587,8.535518022210818,8.23508358814475,-3.7557032511698467,8.535518022210818
Sweden,8.85456728468532,7.937890513463818,8.28486685988399,8.331487921436342,8.623003068875924,8.712341910445263,8.863581585576872,7.502116781083044,8.89726573948129,8.89726573948129,8.291450732114408,8.89726573948129,0.0,8.858093399486021,8.822250345130655,7.4806166758103645,8.511299413981439,5.347958173580123,7.990159540690255,0.0,8.675248809040102,5.625481668435506,7.981175795825631,7.571479152440657,8.8542754948517,7.705030282145916,-inf,6.887866583582205,8.604436656587987,8.397362241088347,8.09547653873371,8.596327395817932,8.829493155866876,7.728041260333563,8.89726573948129,7.873572335231391,8.229150499815853,7.579330160169557,8.840454488375812,7.89102734664116,8.830884217062799,7.748277609506516,8.785034638067605,8.887144669519447,8.771543315708138,0.0,8.830292127130422,6.019981719662994,8.758605042504795,8.482713235255549,8.698063585115506,8.89726573948129,8.697920091253701,7.7050197463110335,8.89726573948129
Norway,8.703840057907074,7.507216244942171,8.00072810607049,8.062207083163077,8.428961752125922,8.536437019279758,8.714313146257073,6.723310571498022,8.753315452283704,8.753315452283704,8.00946612382964,8.753315452283704,0.0,8.707938625153206,8.666165617525383,6.675856299271888,8.291624202103886,6.646558122878641,7.5865296989913364,0.0,8.492049499554907,7.137050788138844,7.573048566102227,6.868705575525865,8.703500791805821,7.122202576855281,6.887866583582205,-inf,8.406374195769919,8.147590510360411,7.740356333164588,8.396479880644131,8.674626759242182,7.163049587799298,8.753315452283704,7.40648323132056,7.9260031928585,6.8844965363337485,8.687412445296047,7.434187103231262,8.676250636835531,7.1983850691421205,8.622524191200474,8.74161817217932,8.606633173144894,0.0,8.675559497369315,6.343417599442614,8.591357432948236,8.255888357953484,8.51938908986551,8.753315452283704,8.519217521676447,7.1221837060852575,8.753315452283704
